#: table_doi: 10.17182/hepdata.90835.v1/t32
#: name: T1qqqq cross section upper limits
#: description: The 95% CL expected upper limits on the production cross sections of the T1qqqq signal model as a function of the gluino and LSP masses.
#: data_file: t1qqqq_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> Q QBAR NEUTRALINO1
#: Upper Limit,Expected
#: LUMINOSITY [fb$^{-1}$],137
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
681.64,1811.0,0.0
681.64,1822.9,0.0
681.64,1834.7,0.0
681.64,1846.6,0.0
681.64,1858.5,0.0
681.64,1870.3,0.0
681.64,1882.2,0.0
681.64,1894.1,0.0
696.48,6.9344,0.023745
696.48,18.803,0.023745
696.48,30.672,0.023745
696.48,42.541,0.023745
696.48,54.409,0.023745
696.48,66.278,0.023745
696.48,78.147,0.023745
696.48,90.016,0.023745
696.48,101.88,0.024057
696.48,113.75,0.025334
696.48,125.62,0.026086
696.48,137.49,0.026837
696.48,149.36,0.027588
696.48,161.23,0.028339
696.48,173.1,0.02909
696.48,184.97,0.029841
696.48,196.83,0.030592
696.48,208.7,0.031343
696.48,220.57,0.032094
696.48,232.44,0.032845
696.48,244.31,0.033596
696.48,256.18,0.034347
696.48,268.05,0.035098
696.48,279.92,0.035849
696.48,291.78,0.036601
696.48,303.65,0.037737
696.48,315.52,0.03974
696.48,327.39,0.041743
696.48,339.26,0.043745
696.48,351.13,0.045748
696.48,363.0,0.047751
696.48,374.87,0.049754
696.48,386.73,0.051757
696.48,398.6,0.054104
696.48,410.47,0.057715
696.48,422.34,0.060719
696.48,434.21,0.063723
696.48,446.08,0.066728
696.48,457.95,0.069732
696.48,469.82,0.072736
696.48,481.68,0.075741
696.48,493.55,0.078745
696.48,505.42,0.082207
696.48,517.29,0.086212
696.48,529.16,0.090218
696.48,541.03,0.094224
696.48,552.9,0.10039
696.48,564.77,0.1084
696.48,576.63,0.11641
696.48,588.5,0.12442
696.48,600.37,0.13663
696.48,612.24,0.15676
696.48,624.11,0.17278
696.48,635.98,0.1888
696.48,647.85,0.20482
696.48,659.72,0.24214
696.48,671.58,0.2794
696.48,683.45,0.0
696.48,695.32,0.0
696.48,707.19,0.0
