#: table_doi: 10.17182/hepdata.90835.v1/t85
#: name: T2bb efficiency
#: description: The efficiency times acceptance of the SMS models for T2bb as function of the bottom squark and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t2bb_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: Efficiency,
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
307.57,1791.7,0.0
307.57,1804.8,0.0
307.57,1817.9,0.0
307.57,1831.1,0.0
307.57,1844.2,0.0
307.57,1857.3,0.0
307.57,1870.4,0.0
307.57,1883.5,0.0
307.57,1896.7,0.0
307.57,1909.8,0.0
307.57,1922.9,0.0
307.57,1936.0,0.0
307.57,1949.1,0.0
307.57,1962.3,0.0
307.57,1975.4,0.0
307.57,1988.5,0.0
307.57,2001.6,0.0
307.57,2014.7,0.0
307.57,2027.8,0.0
307.57,2041.0,0.0
307.57,2054.1,0.0
307.57,2067.2,0.0
307.57,2080.3,0.0
307.57,2093.4,0.0
322.7,7.5594,0.086584
322.7,20.678,0.084013
322.7,33.797,0.081441
322.7,46.916,0.07887
322.7,60.034,0.076299
322.7,73.153,0.073727
322.7,86.272,0.069852
322.7,99.391,0.065324
322.7,112.51,0.062567
322.7,125.63,0.059896
322.7,138.75,0.057225
322.7,151.87,0.054554
322.7,164.98,0.051883
322.7,178.1,0.048723
322.7,191.22,0.038038
322.7,204.34,0.029105
322.7,217.46,0.023712
322.7,230.58,0.020986
322.7,243.7,0.020033
322.7,256.82,0.019898
322.7,269.93,0.019818
322.7,283.05,0.020328
322.7,296.17,0.02121
322.7,309.29,0.0
322.7,322.41,0.0
322.7,335.53,0.0
322.7,348.65,0.0
322.7,361.77,0.0
322.7,374.88,0.0
322.7,388.0,0.0
322.7,401.12,0.0
322.7,414.24,0.0
322.7,427.36,0.0
322.7,440.48,0.0
322.7,453.6,0.0
322.7,466.72,0.0
322.7,479.83,0.0
322.7,492.95,0.0
322.7,506.07,0.0
322.7,519.19,0.0
322.7,532.31,0.0
322.7,545.43,0.0
322.7,558.55,0.0
322.7,571.67,0.0
322.7,584.78,0.0
322.7,597.9,0.0
322.7,611.02,0.0
322.7,624.14,0.0
322.7,637.26,0.0
322.7,650.38,0.0
322.7,663.5,0.0
322.7,676.62,0.0
322.7,689.73,0.0
322.7,702.85,0.0
322.7,715.97,0.0
322.7,729.09,0.0
322.7,742.21,0.0
322.7,755.33,0.0
322.7,768.45,0.0
322.7,781.57,0.0
322.7,794.68,0.0
322.7,807.8,0.0
322.7,820.92,0.0
322.7,834.04,0.0
322.7,847.16,0.0
322.7,860.28,0.0
322.7,873.4,0.0
322.7,886.52,0.0
322.7,899.63,0.0
322.7,912.75,0.0
322.7,925.87,0.0
322.7,938.99,0.0
322.7,952.11,0.0
322.7,965.23,0.0
322.7,978.35,0.0
322.7,991.47,0.0
322.7,1004.6,0.0
322.7,1017.7,0.0
322.7,1030.8,0.0
322.7,1043.9,0.0
322.7,1057.1,0.0
322.7,1070.2,0.0
322.7,1083.3,0.0
322.7,1096.4,0.0
322.7,1109.5,0.0
322.7,1122.7,0.0
322.7,1135.8,0.0
322.7,1148.9,0.0
322.7,1162.0,0.0
322.7,1175.1,0.0
322.7,1188.2,0.0
322.7,1201.4,0.0
322.7,1214.5,0.0
322.7,1227.6,0.0
322.7,1240.7,0.0
322.7,1253.8,0.0
322.7,1267.0,0.0
322.7,1280.1,0.0
322.7,1293.2,0.0
322.7,1306.3,0.0
322.7,1319.4,0.0
322.7,1332.6,0.0
322.7,1345.7,0.0
322.7,1358.8,0.0
322.7,1371.9,0.0
322.7,1385.0,0.0
322.7,1398.1,0.0
322.7,1411.3,0.0
322.7,1424.4,0.0
322.7,1437.5,0.0
322.7,1450.6,0.0
322.7,1463.7,0.0
322.7,1476.9,0.0
322.7,1490.0,0.0
322.7,1503.1,0.0
322.7,1516.2,0.0
322.7,1529.3,0.0
322.7,1542.5,0.0
322.7,1555.6,0.0
322.7,1568.7,0.0
322.7,1581.8,0.0
322.7,1594.9,0.0
322.7,1608.0,0.0
322.7,1621.2,0.0
322.7,1634.3,0.0
322.7,1647.4,0.0
322.7,1660.5,0.0
322.7,1673.6,0.0
322.7,1686.8,0.0
322.7,1699.9,0.0
322.7,1713.0,0.0
322.7,1726.1,0.0
322.7,1739.2,0.0
322.7,1752.4,0.0
322.7,1765.5,0.0
322.7,1778.6,0.0
322.7,1791.7,0.0
322.7,1804.8,0.0
322.7,1817.9,0.0
322.7,1831.1,0.0
322.7,1844.2,0.0
322.7,1857.3,0.0
322.7,1870.4,0.0
322.7,1883.5,0.0
322.7,1896.7,0.0
322.7,1909.8,0.0
322.7,1922.9,0.0
322.7,1936.0,0.0
322.7,1949.1,0.0
322.7,1962.3,0.0
322.7,1975.4,0.0
322.7,1988.5,0.0
322.7,2001.6,0.0
322.7,2014.7,0.0
322.7,2027.8,0.0
322.7,2041.0,0.0
322.7,2054.1,0.0
322.7,2067.2,0.0
322.7,2080.3,0.0
322.7,2093.4,0.0
337.83,7.5594,0.10649
337.83,20.678,0.10392
337.83,33.797,0.10135
337.83,46.916,0.098775
337.83,60.034,0.096204
337.83,73.153,0.092051
337.83,86.272,0.087523
337.83,99.391,0.082995
337.83,112.51,0.080238
337.83,125.63,0.077567
337.83,138.75,0.074896
337.83,151.87,0.072225
337.83,164.98,0.067835
337.83,178.1,0.057151
337.83,191.22,0.046466
337.83,204.34,0.037532
337.83,217.46,0.032139
337.83,230.58,0.026747
337.83,243.7,0.02334
337.83,256.82,0.022841
337.83,269.93,0.02215
337.83,283.05,0.022261
337.83,296.17,0.022451
337.83,309.29,0.023068
337.83,322.41,0.0
337.83,335.53,0.0
337.83,348.65,0.0
337.83,361.77,0.0
337.83,374.88,0.0
337.83,388.0,0.0
337.83,401.12,0.0
337.83,414.24,0.0
337.83,427.36,0.0
337.83,440.48,0.0
337.83,453.6,0.0
337.83,466.72,0.0
337.83,479.83,0.0
337.83,492.95,0.0
337.83,506.07,0.0
337.83,519.19,0.0
337.83,532.31,0.0
337.83,545.43,0.0
337.83,558.55,0.0
337.83,571.67,0.0
337.83,584.78,0.0
337.83,597.9,0.0
337.83,611.02,0.0
337.83,624.14,0.0
337.83,637.26,0.0
337.83,650.38,0.0
337.83,663.5,0.0
337.83,676.62,0.0
337.83,689.73,0.0
337.83,702.85,0.0
337.83,715.97,0.0
337.83,729.09,0.0
337.83,742.21,0.0
337.83,755.33,0.0
337.83,768.45,0.0
337.83,781.57,0.0
337.83,794.68,0.0
337.83,807.8,0.0
337.83,820.92,0.0
337.83,834.04,0.0
337.83,847.16,0.0
337.83,860.28,0.0
337.83,873.4,0.0
337.83,886.52,0.0
337.83,899.63,0.0
337.83,912.75,0.0
337.83,925.87,0.0
337.83,938.99,0.0
337.83,952.11,0.0
337.83,965.23,0.0
337.83,978.35,0.0
337.83,991.47,0.0
337.83,1004.6,0.0
337.83,1017.7,0.0
337.83,1030.8,0.0
337.83,1043.9,0.0
337.83,1057.1,0.0
337.83,1070.2,0.0
337.83,1083.3,0.0
337.83,1096.4,0.0
337.83,1109.5,0.0
337.83,1122.7,0.0
337.83,1135.8,0.0
337.83,1148.9,0.0
337.83,1162.0,0.0
337.83,1175.1,0.0
337.83,1188.2,0.0
337.83,1201.4,0.0
337.83,1214.5,0.0
337.83,1227.6,0.0
337.83,1240.7,0.0
337.83,1253.8,0.0
337.83,1267.0,0.0
337.83,1280.1,0.0
337.83,1293.2,0.0
337.83,1306.3,0.0
337.83,1319.4,0.0
337.83,1332.6,0.0
337.83,1345.7,0.0
337.83,1358.8,0.0
337.83,1371.9,0.0
337.83,1385.0,0.0
337.83,1398.1,0.0
337.83,1411.3,0.0
337.83,1424.4,0.0
337.83,1437.5,0.0
337.83,1450.6,0.0
337.83,1463.7,0.0
337.83,1476.9,0.0
337.83,1490.0,0.0
337.83,1503.1,0.0
337.83,1516.2,0.0
337.83,1529.3,0.0
337.83,1542.5,0.0
337.83,1555.6,0.0
337.83,1568.7,0.0
337.83,1581.8,0.0
337.83,1594.9,0.0
337.83,1608.0,0.0
337.83,1621.2,0.0
337.83,1634.3,0.0
337.83,1647.4,0.0
337.83,1660.5,0.0
337.83,1673.6,0.0
337.83,1686.8,0.0
337.83,1699.9,0.0
337.83,1713.0,0.0
337.83,1726.1,0.0
337.83,1739.2,0.0
337.83,1752.4,0.0
337.83,1765.5,0.0
337.83,1778.6,0.0
337.83,1791.7,0.0
337.83,1804.8,0.0
337.83,1817.9,0.0
337.83,1831.1,0.0
337.83,1844.2,0.0
337.83,1857.3,0.0
337.83,1870.4,0.0
337.83,1883.5,0.0
337.83,1896.7,0.0
337.83,1909.8,0.0
337.83,1922.9,0.0
337.83,1936.0,0.0
337.83,1949.1,0.0
337.83,1962.3,0.0
337.83,1975.4,0.0
337.83,1988.5,0.0
337.83,2001.6,0.0
337.83,2014.7,0.0
337.83,2027.8,0.0
337.83,2041.0,0.0
337.83,2054.1,0.0
337.83,2067.2,0.0
337.83,2080.3,0.0
337.83,2093.4,0.0
352.96,7.5594,0.12639
352.96,20.678,0.12382
352.96,33.797,0.12125
352.96,46.916,0.11868
352.96,60.034,0.11425
352.96,73.153,0.10972
352.96,86.272,0.10519
352.96,99.391,0.10067
352.96,112.51,0.097908
352.96,125.63,0.095237
352.96,138.75,0.092567
352.96,151.87,0.086948
352.96,164.98,0.076263
352.96,178.1,0.065578
352.96,191.22,0.054893
352.96,204.34,0.04596
352.96,217.46,0.040567
352.96,230.58,0.035174
352.96,243.7,0.029782
352.96,256.82,0.025876
352.96,269.93,0.024763
352.96,283.05,0.023819
352.96,296.17,0.023693
352.96,309.29,0.02431
352.96,322.41,0.025202
352.96,335.53,0.0
352.96,348.65,0.0
352.96,361.77,0.0
352.96,374.88,0.0
352.96,388.0,0.0
352.96,401.12,0.0
352.96,414.24,0.0
352.96,427.36,0.0
352.96,440.48,0.0
352.96,453.6,0.0
352.96,466.72,0.0
352.96,479.83,0.0
352.96,492.95,0.0
352.96,506.07,0.0
352.96,519.19,0.0
352.96,532.31,0.0
352.96,545.43,0.0
352.96,558.55,0.0
352.96,571.67,0.0
352.96,584.78,0.0
352.96,597.9,0.0
352.96,611.02,0.0
352.96,624.14,0.0
352.96,637.26,0.0
352.96,650.38,0.0
352.96,663.5,0.0
352.96,676.62,0.0
352.96,689.73,0.0
352.96,702.85,0.0
352.96,715.97,0.0
352.96,729.09,0.0
352.96,742.21,0.0
352.96,755.33,0.0
352.96,768.45,0.0
352.96,781.57,0.0
352.96,794.68,0.0
352.96,807.8,0.0
352.96,820.92,0.0
352.96,834.04,0.0
352.96,847.16,0.0
352.96,860.28,0.0
352.96,873.4,0.0
352.96,886.52,0.0
352.96,899.63,0.0
352.96,912.75,0.0
352.96,925.87,0.0
352.96,938.99,0.0
352.96,952.11,0.0
352.96,965.23,0.0
352.96,978.35,0.0
352.96,991.47,0.0
352.96,1004.6,0.0
352.96,1017.7,0.0
352.96,1030.8,0.0
352.96,1043.9,0.0
352.96,1057.1,0.0
352.96,1070.2,0.0
352.96,1083.3,0.0
352.96,1096.4,0.0
352.96,1109.5,0.0
352.96,1122.7,0.0
352.96,1135.8,0.0
352.96,1148.9,0.0
352.96,1162.0,0.0
352.96,1175.1,0.0
352.96,1188.2,0.0
352.96,1201.4,0.0
352.96,1214.5,0.0
352.96,1227.6,0.0
352.96,1240.7,0.0
352.96,1253.8,0.0
352.96,1267.0,0.0
352.96,1280.1,0.0
352.96,1293.2,0.0
352.96,1306.3,0.0
352.96,1319.4,0.0
352.96,1332.6,0.0
352.96,1345.7,0.0
352.96,1358.8,0.0
352.96,1371.9,0.0
352.96,1385.0,0.0
352.96,1398.1,0.0
352.96,1411.3,0.0
352.96,1424.4,0.0
352.96,1437.5,0.0
352.96,1450.6,0.0
352.96,1463.7,0.0
352.96,1476.9,0.0
352.96,1490.0,0.0
352.96,1503.1,0.0
352.96,1516.2,0.0
352.96,1529.3,0.0
352.96,1542.5,0.0
352.96,1555.6,0.0
352.96,1568.7,0.0
352.96,1581.8,0.0
352.96,1594.9,0.0
352.96,1608.0,0.0
352.96,1621.2,0.0
352.96,1634.3,0.0
352.96,1647.4,0.0
352.96,1660.5,0.0
352.96,1673.6,0.0
352.96,1686.8,0.0
352.96,1699.9,0.0
352.96,1713.0,0.0
352.96,1726.1,0.0
352.96,1739.2,0.0
352.96,1752.4,0.0
352.96,1765.5,0.0
352.96,1778.6,0.0
352.96,1791.7,0.0
352.96,1804.8,0.0
352.96,1817.9,0.0
352.96,1831.1,0.0
352.96,1844.2,0.0
352.96,1857.3,0.0
352.96,1870.4,0.0
352.96,1883.5,0.0
352.96,1896.7,0.0
352.96,1909.8,0.0
352.96,1922.9,0.0
352.96,1936.0,0.0
352.96,1949.1,0.0
352.96,1962.3,0.0
352.96,1975.4,0.0
352.96,1988.5,0.0
352.96,2001.6,0.0
352.96,2014.7,0.0
352.96,2027.8,0.0
352.96,2041.0,0.0
352.96,2054.1,0.0
352.96,2067.2,0.0
352.96,2080.3,0.0
352.96,2093.4,0.0
368.09,7.5594,0.1463
368.09,20.678,0.14373
368.09,33.797,0.14098
368.09,46.916,0.13645
368.09,60.034,0.13192
368.09,73.153,0.12739
368.09,86.272,0.12286
368.09,99.391,0.11834
368.09,112.51,0.11558
368.09,125.63,0.11291
368.09,138.75,0.10606
368.09,151.87,0.095375
368.09,164.98,0.08469
368.09,178.1,0.074006
368.09,191.22,0.063321
368.09,204.34,0.054387
368.09,217.46,0.048994
368.09,230.58,0.043602
368.09,243.7,0.035274
368.09,256.82,0.030536
368.09,269.93,0.028327
368.09,283.05,0.026884
368.09,296.17,0.026122
368.09,309.29,0.026534
368.09,322.41,0.026329
368.09,335.53,0.026682
368.09,348.65,0.0
368.09,361.77,0.0
368.09,374.88,0.0
368.09,388.0,0.0
368.09,401.12,0.0
368.09,414.24,0.0
368.09,427.36,0.0
368.09,440.48,0.0
368.09,453.6,0.0
368.09,466.72,0.0
368.09,479.83,0.0
368.09,492.95,0.0
368.09,506.07,0.0
368.09,519.19,0.0
368.09,532.31,0.0
368.09,545.43,0.0
368.09,558.55,0.0
368.09,571.67,0.0
368.09,584.78,0.0
368.09,597.9,0.0
368.09,611.02,0.0
368.09,624.14,0.0
368.09,637.26,0.0
368.09,650.38,0.0
368.09,663.5,0.0
368.09,676.62,0.0
368.09,689.73,0.0
368.09,702.85,0.0
368.09,715.97,0.0
368.09,729.09,0.0
368.09,742.21,0.0
368.09,755.33,0.0
368.09,768.45,0.0
368.09,781.57,0.0
368.09,794.68,0.0
368.09,807.8,0.0
368.09,820.92,0.0
368.09,834.04,0.0
368.09,847.16,0.0
368.09,860.28,0.0
368.09,873.4,0.0
368.09,886.52,0.0
368.09,899.63,0.0
368.09,912.75,0.0
368.09,925.87,0.0
368.09,938.99,0.0
368.09,952.11,0.0
368.09,965.23,0.0
368.09,978.35,0.0
368.09,991.47,0.0
368.09,1004.6,0.0
368.09,1017.7,0.0
368.09,1030.8,0.0
368.09,1043.9,0.0
368.09,1057.1,0.0
368.09,1070.2,0.0
368.09,1083.3,0.0
368.09,1096.4,0.0
368.09,1109.5,0.0
368.09,1122.7,0.0
368.09,1135.8,0.0
368.09,1148.9,0.0
368.09,1162.0,0.0
368.09,1175.1,0.0
368.09,1188.2,0.0
368.09,1201.4,0.0
368.09,1214.5,0.0
368.09,1227.6,0.0
368.09,1240.7,0.0
368.09,1253.8,0.0
368.09,1267.0,0.0
368.09,1280.1,0.0
368.09,1293.2,0.0
368.09,1306.3,0.0
368.09,1319.4,0.0
368.09,1332.6,0.0
368.09,1345.7,0.0
368.09,1358.8,0.0
368.09,1371.9,0.0
368.09,1385.0,0.0
368.09,1398.1,0.0
368.09,1411.3,0.0
368.09,1424.4,0.0
368.09,1437.5,0.0
368.09,1450.6,0.0
368.09,1463.7,0.0
368.09,1476.9,0.0
368.09,1490.0,0.0
368.09,1503.1,0.0
368.09,1516.2,0.0
368.09,1529.3,0.0
368.09,1542.5,0.0
368.09,1555.6,0.0
368.09,1568.7,0.0
368.09,1581.8,0.0
368.09,1594.9,0.0
368.09,1608.0,0.0
368.09,1621.2,0.0
368.09,1634.3,0.0
368.09,1647.4,0.0
368.09,1660.5,0.0
368.09,1673.6,0.0
368.09,1686.8,0.0
368.09,1699.9,0.0
368.09,1713.0,0.0
368.09,1726.1,0.0
368.09,1739.2,0.0
368.09,1752.4,0.0
368.09,1765.5,0.0
368.09,1778.6,0.0
368.09,1791.7,0.0
368.09,1804.8,0.0
368.09,1817.9,0.0
368.09,1831.1,0.0
368.09,1844.2,0.0
368.09,1857.3,0.0
368.09,1870.4,0.0
368.09,1883.5,0.0
368.09,1896.7,0.0
368.09,1909.8,0.0
368.09,1922.9,0.0
368.09,1936.0,0.0
368.09,1949.1,0.0
368.09,1962.3,0.0
368.09,1975.4,0.0
368.09,1988.5,0.0
368.09,2001.6,0.0
368.09,2014.7,0.0
368.09,2027.8,0.0
368.09,2041.0,0.0
368.09,2054.1,0.0
368.09,2067.2,0.0
368.09,2080.3,0.0
368.09,2093.4,0.0
383.22,7.5594,0.16621
383.22,20.678,0.16318
383.22,33.797,0.15865
383.22,46.916,0.15412
383.22,60.034,0.14959
383.22,73.153,0.14506
383.22,86.272,0.14054
383.22,99.391,0.13601
383.22,112.51,0.13325
383.22,125.63,0.12517
383.22,138.75,0.11449
383.22,151.87,0.1038
383.22,164.98,0.093118
383.22,178.1,0.082433
383.22,191.22,0.071748
383.22,204.34,0.062815
383.22,217.46,0.057252
383.22,230.58,0.048593
383.22,243.7,0.040921
383.22,256.82,0.035222
383.22,269.93,0.032799
383.22,283.05,0.030371
383.22,296.17,0.029393
383.22,309.29,0.028328
383.22,322.41,0.028123
383.22,335.53,0.028476
383.22,348.65,0.028411
383.22,361.77,0.0
383.22,374.88,0.0
383.22,388.0,0.0
383.22,401.12,0.0
383.22,414.24,0.0
383.22,427.36,0.0
383.22,440.48,0.0
383.22,453.6,0.0
383.22,466.72,0.0
383.22,479.83,0.0
383.22,492.95,0.0
383.22,506.07,0.0
383.22,519.19,0.0
383.22,532.31,0.0
383.22,545.43,0.0
383.22,558.55,0.0
383.22,571.67,0.0
383.22,584.78,0.0
383.22,597.9,0.0
383.22,611.02,0.0
383.22,624.14,0.0
383.22,637.26,0.0
383.22,650.38,0.0
383.22,663.5,0.0
383.22,676.62,0.0
383.22,689.73,0.0
383.22,702.85,0.0
383.22,715.97,0.0
383.22,729.09,0.0
383.22,742.21,0.0
383.22,755.33,0.0
383.22,768.45,0.0
383.22,781.57,0.0
383.22,794.68,0.0
383.22,807.8,0.0
383.22,820.92,0.0
383.22,834.04,0.0
383.22,847.16,0.0
383.22,860.28,0.0
383.22,873.4,0.0
383.22,886.52,0.0
383.22,899.63,0.0
383.22,912.75,0.0
383.22,925.87,0.0
383.22,938.99,0.0
383.22,952.11,0.0
383.22,965.23,0.0
383.22,978.35,0.0
383.22,991.47,0.0
383.22,1004.6,0.0
383.22,1017.7,0.0
383.22,1030.8,0.0
383.22,1043.9,0.0
383.22,1057.1,0.0
383.22,1070.2,0.0
383.22,1083.3,0.0
383.22,1096.4,0.0
383.22,1109.5,0.0
383.22,1122.7,0.0
383.22,1135.8,0.0
383.22,1148.9,0.0
383.22,1162.0,0.0
383.22,1175.1,0.0
383.22,1188.2,0.0
383.22,1201.4,0.0
383.22,1214.5,0.0
383.22,1227.6,0.0
383.22,1240.7,0.0
383.22,1253.8,0.0
383.22,1267.0,0.0
383.22,1280.1,0.0
383.22,1293.2,0.0
383.22,1306.3,0.0
383.22,1319.4,0.0
383.22,1332.6,0.0
383.22,1345.7,0.0
383.22,1358.8,0.0
383.22,1371.9,0.0
383.22,1385.0,0.0
383.22,1398.1,0.0
383.22,1411.3,0.0
383.22,1424.4,0.0
383.22,1437.5,0.0
383.22,1450.6,0.0
383.22,1463.7,0.0
383.22,1476.9,0.0
383.22,1490.0,0.0
383.22,1503.1,0.0
383.22,1516.2,0.0
383.22,1529.3,0.0
383.22,1542.5,0.0
383.22,1555.6,0.0
383.22,1568.7,0.0
383.22,1581.8,0.0
383.22,1594.9,0.0
383.22,1608.0,0.0
383.22,1621.2,0.0
383.22,1634.3,0.0
383.22,1647.4,0.0
383.22,1660.5,0.0
383.22,1673.6,0.0
383.22,1686.8,0.0
383.22,1699.9,0.0
383.22,1713.0,0.0
383.22,1726.1,0.0
383.22,1739.2,0.0
383.22,1752.4,0.0
383.22,1765.5,0.0
383.22,1778.6,0.0
383.22,1791.7,0.0
383.22,1804.8,0.0
383.22,1817.9,0.0
383.22,1831.1,0.0
383.22,1844.2,0.0
383.22,1857.3,0.0
383.22,1870.4,0.0
383.22,1883.5,0.0
383.22,1896.7,0.0
383.22,1909.8,0.0
383.22,1922.9,0.0
383.22,1936.0,0.0
383.22,1949.1,0.0
383.22,1962.3,0.0
383.22,1975.4,0.0
383.22,1988.5,0.0
383.22,2001.6,0.0
383.22,2014.7,0.0
383.22,2027.8,0.0
383.22,2041.0,0.0
383.22,2054.1,0.0
383.22,2067.2,0.0
383.22,2080.3,0.0
383.22,2093.4,0.0
398.36,7.5594,0.18537
398.36,20.678,0.18085
398.36,33.797,0.17632
398.36,46.916,0.17179
398.36,60.034,0.16726
398.36,73.153,0.16273
398.36,86.272,0.15821
398.36,99.391,0.15368
398.36,112.51,0.14428
398.36,125.63,0.1336
398.36,138.75,0.12291
398.36,151.87,0.11223
398.36,164.98,0.10155
398.36,178.1,0.090861
398.36,191.22,0.080176
398.36,204.34,0.070673
398.36,217.46,0.063291
398.36,230.58,0.055908
398.36,243.7,0.048526
398.36,256.82,0.042826
398.36,269.93,0.038683
398.36,283.05,0.035753
398.36,296.17,0.033193
398.36,309.29,0.031777
398.36,322.41,0.030549
398.36,335.53,0.030111
398.36,348.65,0.029541
398.36,361.77,0.030068
398.36,374.88,0.0
398.36,388.0,0.0
398.36,401.12,0.0
398.36,414.24,0.0
398.36,427.36,0.0
398.36,440.48,0.0
398.36,453.6,0.0
398.36,466.72,0.0
398.36,479.83,0.0
398.36,492.95,0.0
398.36,506.07,0.0
398.36,519.19,0.0
398.36,532.31,0.0
398.36,545.43,0.0
398.36,558.55,0.0
398.36,571.67,0.0
398.36,584.78,0.0
398.36,597.9,0.0
398.36,611.02,0.0
398.36,624.14,0.0
398.36,637.26,0.0
398.36,650.38,0.0
398.36,663.5,0.0
398.36,676.62,0.0
398.36,689.73,0.0
398.36,702.85,0.0
398.36,715.97,0.0
398.36,729.09,0.0
398.36,742.21,0.0
398.36,755.33,0.0
398.36,768.45,0.0
398.36,781.57,0.0
398.36,794.68,0.0
398.36,807.8,0.0
398.36,820.92,0.0
398.36,834.04,0.0
398.36,847.16,0.0
398.36,860.28,0.0
398.36,873.4,0.0
398.36,886.52,0.0
398.36,899.63,0.0
398.36,912.75,0.0
398.36,925.87,0.0
398.36,938.99,0.0
398.36,952.11,0.0
398.36,965.23,0.0
398.36,978.35,0.0
398.36,991.47,0.0
398.36,1004.6,0.0
398.36,1017.7,0.0
398.36,1030.8,0.0
398.36,1043.9,0.0
398.36,1057.1,0.0
398.36,1070.2,0.0
398.36,1083.3,0.0
398.36,1096.4,0.0
398.36,1109.5,0.0
398.36,1122.7,0.0
398.36,1135.8,0.0
398.36,1148.9,0.0
398.36,1162.0,0.0
398.36,1175.1,0.0
398.36,1188.2,0.0
398.36,1201.4,0.0
398.36,1214.5,0.0
398.36,1227.6,0.0
398.36,1240.7,0.0
398.36,1253.8,0.0
398.36,1267.0,0.0
398.36,1280.1,0.0
398.36,1293.2,0.0
