#: table_doi: 10.17182/hepdata.90835.v1/t86
#: name: T2qq efficiency
#: description: The efficiency times acceptance of the SMS models for T2qq as function of the LSP and light squark masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t2qq_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Efficiency,
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
534.54,461.42,0.051671
534.54,475.16,0.049937
534.54,488.9,0.048204
534.54,502.65,0.047867
534.54,516.39,0.0
534.54,530.13,0.0
534.54,543.88,0.0
534.54,557.62,0.0
534.54,571.37,0.0
534.54,585.11,0.0
534.54,598.85,0.0
534.54,612.6,0.0
534.54,626.34,0.0
534.54,640.08,0.0
534.54,653.83,0.0
534.54,667.57,0.0
534.54,681.32,0.0
534.54,695.06,0.0
534.54,708.8,0.0
534.54,722.55,0.0
534.54,736.29,0.0
534.54,750.03,0.0
534.54,763.78,0.0
534.54,777.52,0.0
534.54,791.27,0.0
534.54,805.01,0.0
534.54,818.75,0.0
534.54,832.5,0.0
534.54,846.24,0.0
534.54,859.98,0.0
534.54,873.73,0.0
534.54,887.47,0.0
534.54,901.22,0.0
534.54,914.96,0.0
534.54,928.7,0.0
534.54,942.45,0.0
534.54,956.19,0.0
534.54,969.93,0.0
534.54,983.68,0.0
534.54,997.42,0.0
534.54,1011.2,0.0
534.54,1024.9,0.0
534.54,1038.7,0.0
534.54,1052.4,0.0
534.54,1066.1,0.0
534.54,1079.9,0.0
534.54,1093.6,0.0
534.54,1107.4,0.0
534.54,1121.1,0.0
534.54,1134.9,0.0
534.54,1148.6,0.0
534.54,1162.3,0.0
534.54,1176.1,0.0
534.54,1189.8,0.0
534.54,1203.6,0.0
534.54,1217.3,0.0
534.54,1231.1,0.0
534.54,1244.8,0.0
534.54,1258.6,0.0
534.54,1272.3,0.0
534.54,1286.0,0.0
534.54,1299.8,0.0
534.54,1313.5,0.0
534.54,1327.3,0.0
534.54,1341.0,0.0
534.54,1354.8,0.0
534.54,1368.5,0.0
534.54,1382.2,0.0
534.54,1396.0,0.0
534.54,1409.7,0.0
534.54,1423.5,0.0
534.54,1437.2,0.0
534.54,1451.0,0.0
534.54,1464.7,0.0
534.54,1478.5,0.0
534.54,1492.2,0.0
534.54,1505.9,0.0
534.54,1519.7,0.0
534.54,1533.4,0.0
534.54,1547.2,0.0
534.54,1560.9,0.0
534.54,1574.7,0.0
534.54,1588.4,0.0
534.54,1602.1,0.0
534.54,1615.9,0.0
534.54,1629.6,0.0
534.54,1643.4,0.0
534.54,1657.1,0.0
534.54,1670.9,0.0
534.54,1684.6,0.0
534.54,1698.4,0.0
534.54,1712.1,0.0
534.54,1725.8,0.0
534.54,1739.6,0.0
534.54,1753.3,0.0
534.54,1767.1,0.0
534.54,1780.8,0.0
534.54,1794.6,0.0
534.54,1808.3,0.0
534.54,1822.0,0.0
534.54,1835.8,0.0
534.54,1849.5,0.0
534.54,1863.3,0.0
534.54,1877.0,0.0
534.54,1890.8,0.0
534.54,1904.5,0.0
534.54,1918.3,0.0
534.54,1932.0,0.0
534.54,1945.7,0.0
534.54,1959.5,0.0
534.54,1973.2,0.0
534.54,1987.0,0.0
534.54,2000.7,0.0
534.54,2014.5,0.0
534.54,2028.2,0.0
534.54,2041.9,0.0
534.54,2055.7,0.0
534.54,2069.4,0.0
534.54,2083.2,0.0
534.54,2096.9,0.0
534.54,2110.7,0.0
534.54,2124.4,0.0
534.54,2138.2,0.0
534.54,2151.9,0.0
534.54,2165.6,0.0
534.54,2179.4,0.0
534.54,2193.1,0.0
548.36,7.8719,0.39137
548.36,21.616,0.38902
548.36,35.359,0.38666
548.36,49.103,0.3843
548.36,62.847,0.38195
548.36,76.591,0.37959
548.36,90.334,0.37723
548.36,104.08,0.37274
548.36,117.82,0.36563
548.36,131.57,0.35852
548.36,145.31,0.35141
548.36,159.05,0.3443
548.36,172.8,0.33718
548.36,186.54,0.33007
548.36,200.28,0.32284
548.36,214.03,0.30978
548.36,227.77,0.29672
548.36,241.52,0.28367
548.36,255.26,0.26857
548.36,269.0,0.25126
548.36,282.75,0.23396
548.36,296.49,0.21665
548.36,310.23,0.19692
548.36,323.98,0.17561
548.36,337.72,0.15431
548.36,351.47,0.13356
548.36,365.21,0.11754
548.36,378.95,0.10152
548.36,392.7,0.085499
548.36,406.44,0.07518
548.36,420.18,0.068722
548.36,433.93,0.062263
548.36,447.67,0.055805
548.36,461.42,0.053995
548.36,475.16,0.052261
548.36,488.9,0.050527
548.36,502.65,0.04926
548.36,516.39,0.049378
548.36,530.13,0.0
548.36,543.88,0.0
548.36,557.62,0.0
548.36,571.37,0.0
548.36,585.11,0.0
548.36,598.85,0.0
548.36,612.6,0.0
548.36,626.34,0.0
548.36,640.08,0.0
548.36,653.83,0.0
548.36,667.57,0.0
548.36,681.32,0.0
548.36,695.06,0.0
548.36,708.8,0.0
548.36,722.55,0.0
548.36,736.29,0.0
548.36,750.03,0.0
548.36,763.78,0.0
548.36,777.52,0.0
548.36,791.27,0.0
548.36,805.01,0.0
548.36,818.75,0.0
548.36,832.5,0.0
548.36,846.24,0.0
548.36,859.98,0.0
548.36,873.73,0.0
548.36,887.47,0.0
548.36,901.22,0.0
548.36,914.96,0.0
548.36,928.7,0.0
548.36,942.45,0.0
548.36,956.19,0.0
548.36,969.93,0.0
548.36,983.68,0.0
548.36,997.42,0.0
548.36,1011.2,0.0
548.36,1024.9,0.0
548.36,1038.7,0.0
548.36,1052.4,0.0
548.36,1066.1,0.0
548.36,1079.9,0.0
548.36,1093.6,0.0
548.36,1107.4,0.0
548.36,1121.1,0.0
548.36,1134.9,0.0
548.36,1148.6,0.0
548.36,1162.3,0.0
548.36,1176.1,0.0
548.36,1189.8,0.0
548.36,1203.6,0.0
548.36,1217.3,0.0
548.36,1231.1,0.0
548.36,1244.8,0.0
548.36,1258.6,0.0
548.36,1272.3,0.0
548.36,1286.0,0.0
548.36,1299.8,0.0
548.36,1313.5,0.0
548.36,1327.3,0.0
548.36,1341.0,0.0
548.36,1354.8,0.0
548.36,1368.5,0.0
548.36,1382.2,0.0
548.36,1396.0,0.0
548.36,1409.7,0.0
548.36,1423.5,0.0
548.36,1437.2,0.0
548.36,1451.0,0.0
548.36,1464.7,0.0
548.36,1478.5,0.0
548.36,1492.2,0.0
548.36,1505.9,0.0
548.36,1519.7,0.0
548.36,1533.4,0.0
548.36,1547.2,0.0
548.36,1560.9,0.0
548.36,1574.7,0.0
548.36,1588.4,0.0
548.36,1602.1,0.0
548.36,1615.9,0.0
548.36,1629.6,0.0
548.36,1643.4,0.0
548.36,1657.1,0.0
548.36,1670.9,0.0
548.36,1684.6,0.0
548.36,1698.4,0.0
548.36,1712.1,0.0
548.36,1725.8,0.0
548.36,1739.6,0.0
548.36,1753.3,0.0
548.36,1767.1,0.0
548.36,1780.8,0.0
548.36,1794.6,0.0
548.36,1808.3,0.0
548.36,1822.0,0.0
548.36,1835.8,0.0
548.36,1849.5,0.0
548.36,1863.3,0.0
548.36,1877.0,0.0
548.36,1890.8,0.0
548.36,1904.5,0.0
548.36,1918.3,0.0
548.36,1932.0,0.0
548.36,1945.7,0.0
548.36,1959.5,0.0
548.36,1973.2,0.0
548.36,1987.0,0.0
548.36,2000.7,0.0
548.36,2014.5,0.0
548.36,2028.2,0.0
548.36,2041.9,0.0
548.36,2055.7,0.0
548.36,2069.4,0.0
548.36,2083.2,0.0
548.36,2096.9,0.0
548.36,2110.7,0.0
548.36,2124.4,0.0
548.36,2138.2,0.0
548.36,2151.9,0.0
548.36,2165.6,0.0
548.36,2179.4,0.0
548.36,2193.1,0.0
562.17,7.8719,0.40272
562.17,21.616,0.40036
562.17,35.359,0.39801
562.17,49.103,0.39565
562.17,62.847,0.39329
562.17,76.591,0.39098
562.17,90.334,0.38957
562.17,104.08,0.38646
562.17,117.82,0.37935
562.17,131.57,0.37224
562.17,145.31,0.36513
562.17,159.05,0.35802
562.17,172.8,0.3509
562.17,186.54,0.34498
562.17,200.28,0.33928
562.17,214.03,0.32931
562.17,227.77,0.31626
562.17,241.52,0.3032
562.17,255.26,0.28852
562.17,269.0,0.27121
562.17,282.75,0.2539
562.17,296.49,0.23887
562.17,310.23,0.21951
562.17,323.98,0.19821
562.17,337.72,0.1769
562.17,351.47,0.15814
562.17,365.21,0.13715
562.17,378.95,0.12113
562.17,392.7,0.1051
562.17,406.44,0.093564
562.17,420.18,0.087106
562.17,433.93,0.080648
562.17,447.67,0.06641
562.17,461.42,0.062035
562.17,475.16,0.060302
562.17,488.9,0.058148
562.17,502.65,0.052433
562.17,516.39,0.05255
562.17,530.13,0.050937
562.17,543.88,0.0
562.17,557.62,0.0
562.17,571.37,0.0
562.17,585.11,0.0
562.17,598.85,0.0
562.17,612.6,0.0
562.17,626.34,0.0
562.17,640.08,0.0
562.17,653.83,0.0
562.17,667.57,0.0
562.17,681.32,0.0
562.17,695.06,0.0
562.17,708.8,0.0
562.17,722.55,0.0
562.17,736.29,0.0
562.17,750.03,0.0
562.17,763.78,0.0
562.17,777.52,0.0
562.17,791.27,0.0
562.17,805.01,0.0
562.17,818.75,0.0
562.17,832.5,0.0
562.17,846.24,0.0
562.17,859.98,0.0
562.17,873.73,0.0
562.17,887.47,0.0
562.17,901.22,0.0
562.17,914.96,0.0
562.17,928.7,0.0
562.17,942.45,0.0
562.17,956.19,0.0
562.17,969.93,0.0
562.17,983.68,0.0
562.17,997.42,0.0
562.17,1011.2,0.0
562.17,1024.9,0.0
562.17,1038.7,0.0
562.17,1052.4,0.0
562.17,1066.1,0.0
562.17,1079.9,0.0
562.17,1093.6,0.0
562.17,1107.4,0.0
562.17,1121.1,0.0
562.17,1134.9,0.0
562.17,1148.6,0.0
562.17,1162.3,0.0
562.17,1176.1,0.0
562.17,1189.8,0.0
562.17,1203.6,0.0
562.17,1217.3,0.0
562.17,1231.1,0.0
562.17,1244.8,0.0
562.17,1258.6,0.0
562.17,1272.3,0.0
562.17,1286.0,0.0
562.17,1299.8,0.0
562.17,1313.5,0.0
562.17,1327.3,0.0
562.17,1341.0,0.0
562.17,1354.8,0.0
562.17,1368.5,0.0
562.17,1382.2,0.0
562.17,1396.0,0.0
562.17,1409.7,0.0
562.17,1423.5,0.0
562.17,1437.2,0.0
562.17,1451.0,0.0
562.17,1464.7,0.0
562.17,1478.5,0.0
562.17,1492.2,0.0
562.17,1505.9,0.0
562.17,1519.7,0.0
562.17,1533.4,0.0
562.17,1547.2,0.0
562.17,1560.9,0.0
562.17,1574.7,0.0
562.17,1588.4,0.0
562.17,1602.1,0.0
562.17,1615.9,0.0
562.17,1629.6,0.0
562.17,1643.4,0.0
562.17,1657.1,0.0
562.17,1670.9,0.0
562.17,1684.6,0.0
562.17,1698.4,0.0
562.17,1712.1,0.0
562.17,1725.8,0.0
562.17,1739.6,0.0
562.17,1753.3,0.0
562.17,1767.1,0.0
562.17,1780.8,0.0
562.17,1794.6,0.0
562.17,1808.3,0.0
562.17,1822.0,0.0
562.17,1835.8,0.0
562.17,1849.5,0.0
562.17,1863.3,0.0
562.17,1877.0,0.0
562.17,1890.8,0.0
562.17,1904.5,0.0
562.17,1918.3,0.0
562.17,1932.0,0.0
562.17,1945.7,0.0
562.17,1959.5,0.0
562.17,1973.2,0.0
562.17,1987.0,0.0
562.17,2000.7,0.0
562.17,2014.5,0.0
562.17,2028.2,0.0
562.17,2041.9,0.0
562.17,2055.7,0.0
562.17,2069.4,0.0
562.17,2083.2,0.0
562.17,2096.9,0.0
562.17,2110.7,0.0
562.17,2124.4,0.0
562.17,2138.2,0.0
562.17,2151.9,0.0
562.17,2165.6,0.0
562.17,2179.4,0.0
562.17,2193.1,0.0
575.99,7.8719,0.41374
575.99,21.616,0.41138
575.99,35.359,0.40902
575.99,49.103,0.4067
575.99,62.847,0.40529
575.99,76.591,0.40387
575.99,90.334,0.40245
575.99,104.08,0.39935
575.99,117.82,0.39223
575.99,131.57,0.38512
575.99,145.31,0.37801
575.99,159.05,0.3721
575.99,172.8,0.36648
575.99,186.54,0.36087
575.99,200.28,0.35517
575.99,214.03,0.34569
575.99,227.77,0.33574
575.99,241.52,0.32268
575.99,255.26,0.308
575.99,269.0,0.29069
575.99,282.75,0.27569
575.99,296.49,0.262
575.99,310.23,0.24264
575.99,323.98,0.22133
575.99,337.72,0.20302
575.99,351.47,0.18428
575.99,365.21,0.16188
575.99,378.95,0.14086
575.99,392.7,0.12484
575.99,406.44,0.1133
575.99,420.18,0.10684
575.99,433.93,0.092544
575.99,447.67,0.075223
575.99,461.42,0.070849
575.99,475.16,0.068667
575.99,488.9,0.06156
575.99,502.65,0.055845
575.99,516.39,0.055286
575.99,530.13,0.053284
575.99,543.88,0.051958
575.99,557.62,0.0
575.99,571.37,0.0
575.99,585.11,0.0
575.99,598.85,0.0
575.99,612.6,0.0
575.99,626.34,0.0
575.99,640.08,0.0
575.99,653.83,0.0
575.99,667.57,0.0
575.99,681.32,0.0
575.99,695.06,0.0
575.99,708.8,0.0
575.99,722.55,0.0
575.99,736.29,0.0
575.99,750.03,0.0
575.99,763.78,0.0
575.99,777.52,0.0
575.99,791.27,0.0
575.99,805.01,0.0
575.99,818.75,0.0
575.99,832.5,0.0
575.99,846.24,0.0
575.99,859.98,0.0
575.99,873.73,0.0
575.99,887.47,0.0
575.99,901.22,0.0
575.99,914.96,0.0
575.99,928.7,0.0
575.99,942.45,0.0
575.99,956.19,0.0
575.99,969.93,0.0
575.99,983.68,0.0
575.99,997.42,0.0
575.99,1011.2,0.0
575.99,1024.9,0.0
575.99,1038.7,0.0
575.99,1052.4,0.0
575.99,1066.1,0.0
575.99,1079.9,0.0
575.99,1093.6,0.0
575.99,1107.4,0.0
575.99,1121.1,0.0
575.99,1134.9,0.0
575.99,1148.6,0.0
575.99,1162.3,0.0
575.99,1176.1,0.0
575.99,1189.8,0.0
575.99,1203.6,0.0
575.99,1217.3,0.0
575.99,1231.1,0.0
575.99,1244.8,0.0
575.99,1258.6,0.0
575.99,1272.3,0.0
575.99,1286.0,0.0
575.99,1299.8,0.0
575.99,1313.5,0.0
575.99,1327.3,0.0
575.99,1341.0,0.0
575.99,1354.8,0.0
575.99,1368.5,0.0
575.99,1382.2,0.0
575.99,1396.0,0.0
575.99,1409.7,0.0
575.99,1423.5,0.0
575.99,1437.2,0.0
575.99,1451.0,0.0
575.99,1464.7,0.0
575.99,1478.5,0.0
575.99,1492.2,0.0
575.99,1505.9,0.0
575.99,1519.7,0.0
575.99,1533.4,0.0
575.99,1547.2,0.0
575.99,1560.9,0.0
575.99,1574.7,0.0
575.99,1588.4,0.0
575.99,1602.1,0.0
575.99,1615.9,0.0
575.99,1629.6,0.0
575.99,1643.4,0.0
575.99,1657.1,0.0
575.99,1670.9,0.0
575.99,1684.6,0.0
575.99,1698.4,0.0
575.99,1712.1,0.0
575.99,1725.8,0.0
575.99,1739.6,0.0
575.99,1753.3,0.0
575.99,1767.1,0.0
575.99,1780.8,0.0
575.99,1794.6,0.0
575.99,1808.3,0.0
575.99,1822.0,0.0
575.99,1835.8,0.0
575.99,1849.5,0.0
575.99,1863.3,0.0
575.99,1877.0,0.0
575.99,1890.8,0.0
575.99,1904.5,0.0
575.99,1918.3,0.0
575.99,1932.0,0.0
575.99,1945.7,0.0
575.99,1959.5,0.0
575.99,1973.2,0.0
575.99,1987.0,0.0
575.99,2000.7,0.0
575.99,2014.5,0.0
575.99,2028.2,0.0
575.99,2041.9,0.0
575.99,2055.7,0.0
575.99,2069.4,0.0
575.99,2083.2,0.0
575.99,2096.9,0.0
575.99,2110.7,0.0
575.99,2124.4,0.0
575.99,2138.2,0.0
575.99,2151.9,0.0
575.99,2165.6,0.0
575.99,2179.4,0.0
575.99,2193.1,0.0
589.8,7.8719,0.42475
589.8,21.616,0.42242
589.8,35.359,0.42101
589.8,49.103,0.41959
589.8,62.847,0.41817
589.8,76.591,0.41675
589.8,90.334,0.41534
589.8,104.08,0.41223
589.8,117.82,0.40512
589.8,131.57,0.39922
589.8,145.31,0.39361
589.8,159.05,0.38799
589.8,172.8,0.38237
589.8,186.54,0.37675
589.8,200.28,0.37106
589.8,214.03,0.36158
589.8,227.77,0.3521
589.8,241.52,0.34217
589.8,255.26,0.32748
589.8,269.0,0.3125
589.8,282.75,0.29881
589.8,296.49,0.28512
589.8,310.23,0.26577
589.8,323.98,0.24747
589.8,337.72,0.22916
589.8,351.47,0.21042
589.8,365.21,0.18803
589.8,378.95,0.16563
589.8,392.7,0.14457
589.8,406.44,0.13303
589.8,420.18,0.11868
589.8,433.93,0.10136
589.8,447.67,0.084037
589.8,461.42,0.079186
589.8,475.16,0.07208
589.8,488.9,0.064973
589.8,502.65,0.059258
589.8,516.39,0.057634
589.8,530.13,0.055632
589.8,543.88,0.05363
589.8,557.62,0.053089
589.8,571.37,0.0
589.8,585.11,0.0
589.8,598.85,0.0
589.8,612.6,0.0
589.8,626.34,0.0
589.8,640.08,0.0
589.8,653.83,0.0
589.8,667.57,0.0
589.8,681.32,0.0
589.8,695.06,0.0
589.8,708.8,0.0
589.8,722.55,0.0
589.8,736.29,0.0
589.8,750.03,0.0
589.8,763.78,0.0
589.8,777.52,0.0
589.8,791.27,0.0
589.8,805.01,0.0
589.8,818.75,0.0
589.8,832.5,0.0
589.8,846.24,0.0
589.8,859.98,0.0
589.8,873.73,0.0
589.8,887.47,0.0
589.8,901.22,0.0
589.8,914.96,0.0
589.8,928.7,0.0
589.8,942.45,0.0
589.8,956.19,0.0
589.8,969.93,0.0
589.8,983.68,0.0
589.8,997.42,0.0
589.8,1011.2,0.0
589.8,1024.9,0.0
589.8,1038.7,0.0
589.8,1052.4,0.0
589.8,1066.1,0.0
589.8,1079.9,0.0
589.8,1093.6,0.0
589.8,1107.4,0.0
589.8,1121.1,0.0
589.8,1134.9,0.0
589.8,1148.6,0.0
589.8,1162.3,0.0
589.8,1176.1,0.0
589.8,1189.8,0.0
589.8,1203.6,0.0
589.8,1217.3,0.0
589.8,1231.1,0.0
589.8,1244.8,0.0
589.8,1258.6,0.0
589.8,1272.3,0.0
