#: table_doi: 10.17182/hepdata.90835.v1/t81
#: name: T1bbbb efficiency
#: description: The efficiency times acceptance of the SMS models for T1bbbb as function of the gluino and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t1bbbb_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> BQ BQBAR NEUTRALINO1
#: Efficiency,
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
650.66,1087.0,0.0
650.66,1098.9,0.0
650.66,1110.7,0.0
650.66,1122.6,0.0
650.66,1134.5,0.0
650.66,1146.3,0.0
650.66,1158.2,0.0
650.66,1170.1,0.0
650.66,1181.9,0.0
650.66,1193.8,0.0
650.66,1205.7,0.0
650.66,1217.5,0.0
650.66,1229.4,0.0
650.66,1241.3,0.0
650.66,1253.2,0.0
650.66,1265.0,0.0
650.66,1276.9,0.0
650.66,1288.8,0.0
650.66,1300.6,0.0
650.66,1312.5,0.0
650.66,1324.4,0.0
650.66,1336.2,0.0
650.66,1348.1,0.0
650.66,1360.0,0.0
650.66,1371.8,0.0
650.66,1383.7,0.0
650.66,1395.6,0.0
650.66,1407.4,0.0
650.66,1419.3,0.0
650.66,1431.2,0.0
650.66,1443.1,0.0
650.66,1454.9,0.0
650.66,1466.8,0.0
650.66,1478.7,0.0
650.66,1490.5,0.0
650.66,1502.4,0.0
650.66,1514.3,0.0
650.66,1526.1,0.0
650.66,1538.0,0.0
650.66,1549.9,0.0
650.66,1561.7,0.0
650.66,1573.6,0.0
650.66,1585.5,0.0
650.66,1597.3,0.0
650.66,1609.2,0.0
650.66,1621.1,0.0
650.66,1633.0,0.0
650.66,1644.8,0.0
650.66,1656.7,0.0
650.66,1668.6,0.0
650.66,1680.4,0.0
650.66,1692.3,0.0
650.66,1704.2,0.0
650.66,1716.0,0.0
650.66,1727.9,0.0
650.66,1739.8,0.0
650.66,1751.6,0.0
650.66,1763.5,0.0
650.66,1775.4,0.0
650.66,1787.2,0.0
650.66,1799.1,0.0
650.66,1811.0,0.0
650.66,1822.9,0.0
650.66,1834.7,0.0
650.66,1846.6,0.0
650.66,1858.5,0.0
650.66,1870.3,0.0
650.66,1882.2,0.0
650.66,1894.1,0.0
665.13,6.9344,0.23516
665.13,18.803,0.23626
665.13,30.672,0.23735
665.13,42.541,0.23867
665.13,54.409,0.24014
665.13,66.278,0.24161
665.13,78.147,0.24308
665.13,90.016,0.24455
665.13,101.88,0.24539
665.13,113.75,0.24284
665.13,125.62,0.2403
665.13,137.49,0.23812
665.13,149.36,0.23723
665.13,161.23,0.23634
665.13,173.1,0.23545
665.13,184.97,0.23456
665.13,196.83,0.23367
665.13,208.7,0.22857
665.13,220.57,0.22195
665.13,232.44,0.21532
665.13,244.31,0.21021
665.13,256.18,0.20547
665.13,268.05,0.20074
665.13,279.92,0.19601
665.13,291.78,0.19128
665.13,303.65,0.18535
665.13,315.52,0.17672
665.13,327.39,0.16809
665.13,339.26,0.15946
665.13,351.13,0.15083
665.13,363.0,0.1422
665.13,374.87,0.13475
665.13,386.73,0.12757
665.13,398.6,0.12038
665.13,410.47,0.11418
665.13,422.34,0.10812
665.13,434.21,0.10205
665.13,446.08,0.095981
665.13,457.95,0.089914
665.13,469.82,0.083829
665.13,481.68,0.075082
665.13,493.55,0.066335
665.13,505.42,0.060974
665.13,517.29,0.059638
665.13,529.16,0.058302
665.13,541.03,0.055665
665.13,552.9,0.052434
665.13,564.77,0.051093
665.13,576.63,0.051401
665.13,588.5,0.051761
665.13,600.37,0.052148
665.13,612.24,0.053383
665.13,624.11,0.053983
665.13,635.98,0.054412
665.13,647.85,0.0
665.13,659.72,0.0
665.13,671.58,0.0
665.13,683.45,0.0
665.13,695.32,0.0
