#: table_doi: 10.17182/hepdata.90835.v1/t60
#: name: T2qq cross section upper limits
#: description: The 95% CL observed and expected upper limits on the production cross sections of the T2qq signal model as a function of the LSP and light squark masses.
#: data_file: t2qq_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Upper Limit,Expected
#: LUMINOSITY [fb$^{-1}$],137
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
552.73,330.57,0.18458
552.73,341.03,0.1942
552.73,351.49,0.20368
552.73,361.96,0.21224
552.73,372.42,0.22079
552.73,382.88,0.22935
552.73,393.34,0.23791
552.73,403.81,0.24559
552.73,414.27,0.25379
552.73,424.73,0.26199
552.73,435.19,0.27019
552.73,445.66,0.27839
552.73,456.12,0.28764
552.73,466.58,0.29762
552.73,477.04,0.30761
552.73,487.51,0.31759
552.73,497.97,0.32731
552.73,508.43,0.34976
552.73,518.89,0.37615
552.73,529.36,0.0
552.73,539.82,0.0
552.73,550.28,0.0
552.73,560.74,0.0
552.73,571.21,0.0
552.73,581.67,0.0
552.73,592.13,0.0
552.73,602.59,0.0
552.73,613.06,0.0
552.73,623.52,0.0
552.73,633.98,0.0
552.73,644.44,0.0
552.73,654.91,0.0
552.73,665.37,0.0
552.73,675.83,0.0
552.73,686.29,0.0
552.73,696.76,0.0
552.73,707.22,0.0
552.73,717.68,0.0
552.73,728.14,0.0
552.73,738.61,0.0
552.73,749.07,0.0
552.73,759.53,0.0
552.73,769.99,0.0
552.73,780.46,0.0
552.73,790.92,0.0
552.73,801.38,0.0
552.73,811.84,0.0
552.73,822.31,0.0
552.73,832.77,0.0
552.73,843.23,0.0
552.73,853.69,0.0
552.73,864.16,0.0
552.73,874.62,0.0
552.73,885.08,0.0
552.73,895.54,0.0
552.73,906.01,0.0
552.73,916.47,0.0
552.73,926.93,0.0
552.73,937.39,0.0
552.73,947.86,0.0
552.73,958.32,0.0
552.73,968.78,0.0
552.73,979.24,0.0
552.73,989.71,0.0
552.73,1000.2,0.0
552.73,1010.6,0.0
552.73,1021.1,0.0
552.73,1031.6,0.0
552.73,1042.0,0.0
552.73,1052.5,0.0
552.73,1062.9,0.0
552.73,1073.4,0.0
552.73,1083.9,0.0
552.73,1094.3,0.0
552.73,1104.8,0.0
552.73,1115.3,0.0
552.73,1125.7,0.0
552.73,1136.2,0.0
552.73,1146.6,0.0
552.73,1157.1,0.0
552.73,1167.6,0.0
552.73,1178.0,0.0
552.73,1188.5,0.0
552.73,1199.0,0.0
552.73,1209.4,0.0
552.73,1219.9,0.0
552.73,1230.3,0.0
552.73,1240.8,0.0
552.73,1251.3,0.0
552.73,1261.7,0.0
552.73,1272.2,0.0
552.73,1282.7,0.0
552.73,1293.1,0.0
552.73,1303.6,0.0
552.73,1314.0,0.0
552.73,1324.5,0.0
552.73,1335.0,0.0
552.73,1345.4,0.0
552.73,1355.9,0.0
552.73,1366.4,0.0
552.73,1376.8,0.0
552.73,1387.3,0.0
552.73,1397.7,0.0
552.73,1408.2,0.0
552.73,1418.7,0.0
552.73,1429.1,0.0
552.73,1439.6,0.0
552.73,1450.1,0.0
552.73,1460.5,0.0
552.73,1471.0,0.0
552.73,1481.4,0.0
552.73,1491.9,0.0
552.73,1502.4,0.0
552.73,1512.8,0.0
552.73,1523.3,0.0
552.73,1533.8,0.0
552.73,1544.2,0.0
552.73,1554.7,0.0
552.73,1565.1,0.0
552.73,1575.6,0.0
552.73,1586.1,0.0
552.73,1596.5,0.0
552.73,1607.0,0.0
552.73,1617.5,0.0
552.73,1627.9,0.0
552.73,1638.4,0.0
552.73,1648.8,0.0
552.73,1659.3,0.0
552.73,1669.8,0.0
564.45,6.2313,0.048675
564.45,16.694,0.049395
564.45,27.156,0.050116
564.45,37.619,0.050836
564.45,48.081,0.051556
564.45,58.544,0.052277
564.45,69.006,0.052997
564.45,79.469,0.053325
564.45,89.931,0.053538
564.45,100.39,0.053806
564.45,110.86,0.05549
564.45,121.32,0.057173
564.45,131.78,0.059178
564.45,142.24,0.062031
564.45,152.71,0.064884
564.45,163.17,0.067736
564.45,173.63,0.070589
564.45,184.09,0.073442
564.45,194.56,0.076294
564.45,205.02,0.081029
564.45,215.48,0.087804
564.45,225.94,0.094579
564.45,236.41,0.10109
564.45,246.87,0.10467
564.45,257.33,0.11174
564.45,267.79,0.12029
564.45,278.26,0.12885
564.45,288.72,0.13648
564.45,299.18,0.14195
564.45,309.64,0.14994
564.45,320.11,0.15892
564.45,330.57,0.16855
564.45,341.03,0.17817
564.45,351.49,0.18765
564.45,361.96,0.19621
564.45,372.42,0.20476
564.45,382.88,0.21332
564.45,393.34,0.22115
564.45,403.81,0.22827
564.45,414.27,0.23458
564.45,424.73,0.24275
564.45,435.19,0.25095
564.45,445.66,0.25915
564.45,456.12,0.2684
564.45,466.58,0.27838
564.45,477.04,0.28836
564.45,487.51,0.29762
564.45,497.97,0.30373
564.45,508.43,0.32618
564.45,518.89,0.35071
564.45,529.36,0.35976
564.45,539.82,0.0
564.45,550.28,0.0
564.45,560.74,0.0
564.45,571.21,0.0
564.45,581.67,0.0
564.45,592.13,0.0
564.45,602.59,0.0
564.45,613.06,0.0
564.45,623.52,0.0
564.45,633.98,0.0
564.45,644.44,0.0
564.45,654.91,0.0
564.45,665.37,0.0
564.45,675.83,0.0
564.45,686.29,0.0
564.45,696.76,0.0
564.45,707.22,0.0
564.45,717.68,0.0
564.45,728.14,0.0
564.45,738.61,0.0
564.45,749.07,0.0
564.45,759.53,0.0
564.45,769.99,0.0
564.45,780.46,0.0
564.45,790.92,0.0
564.45,801.38,0.0
564.45,811.84,0.0
564.45,822.31,0.0
564.45,832.77,0.0
564.45,843.23,0.0
564.45,853.69,0.0
564.45,864.16,0.0
564.45,874.62,0.0
564.45,885.08,0.0
564.45,895.54,0.0
564.45,906.01,0.0
564.45,916.47,0.0
564.45,926.93,0.0
564.45,937.39,0.0
564.45,947.86,0.0
564.45,958.32,0.0
564.45,968.78,0.0
564.45,979.24,0.0
564.45,989.71,0.0
564.45,1000.2,0.0
564.45,1010.6,0.0
564.45,1021.1,0.0
564.45,1031.6,0.0
564.45,1042.0,0.0
564.45,1052.5,0.0
564.45,1062.9,0.0
564.45,1073.4,0.0
564.45,1083.9,0.0
564.45,1094.3,0.0
564.45,1104.8,0.0
564.45,1115.3,0.0
564.45,1125.7,0.0
564.45,1136.2,0.0
564.45,1146.6,0.0
564.45,1157.1,0.0
564.45,1167.6,0.0
564.45,1178.0,0.0
564.45,1188.5,0.0
564.45,1199.0,0.0
564.45,1209.4,0.0
564.45,1219.9,0.0
564.45,1230.3,0.0
564.45,1240.8,0.0
564.45,1251.3,0.0
564.45,1261.7,0.0
564.45,1272.2,0.0
564.45,1282.7,0.0
564.45,1293.1,0.0
564.45,1303.6,0.0
564.45,1314.0,0.0
564.45,1324.5,0.0
564.45,1335.0,0.0
564.45,1345.4,0.0
564.45,1355.9,0.0
564.45,1366.4,0.0
564.45,1376.8,0.0
564.45,1387.3,0.0
564.45,1397.7,0.0
564.45,1408.2,0.0
564.45,1418.7,0.0
564.45,1429.1,0.0
564.45,1439.6,0.0
564.45,1450.1,0.0
564.45,1460.5,0.0
564.45,1471.0,0.0
564.45,1481.4,0.0
564.45,1491.9,0.0
564.45,1502.4,0.0
564.45,1512.8,0.0
564.45,1523.3,0.0
564.45,1533.8,0.0
564.45,1544.2,0.0
564.45,1554.7,0.0
564.45,1565.1,0.0
564.45,1575.6,0.0
564.45,1586.1,0.0
564.45,1596.5,0.0
564.45,1607.0,0.0
564.45,1617.5,0.0
564.45,1627.9,0.0
564.45,1638.4,0.0
564.45,1648.8,0.0
564.45,1659.3,0.0
564.45,1669.8,0.0
576.17,6.2313,0.045016
576.17,16.694,0.045737
576.17,27.156,0.046457
576.17,37.619,0.047177
576.17,48.081,0.047898
576.17,58.544,0.048115
576.17,69.006,0.048328
576.17,79.469,0.04854
576.17,89.931,0.048753
576.17,100.39,0.049021
576.17,110.86,0.050705
576.17,121.32,0.052389
576.17,131.78,0.054072
576.17,142.24,0.055756
576.17,152.71,0.05748
576.17,163.17,0.060333
576.17,173.63,0.063186
576.17,184.09,0.066038
576.17,194.56,0.068891
576.17,205.02,0.073625
576.17,215.48,0.0804
576.17,225.94,0.086529
576.17,236.41,0.090107
576.17,246.87,0.093685
576.17,257.33,0.10075
576.17,267.79,0.10931
576.17,278.26,0.11656
576.17,288.72,0.12204
576.17,299.18,0.12751
576.17,309.64,0.1355
576.17,320.11,0.14371
576.17,330.57,0.15252
576.17,341.03,0.16214
576.17,351.49,0.17162
576.17,361.96,0.18018
576.17,372.42,0.18873
576.17,382.88,0.19644
576.17,393.34,0.20402
576.17,403.81,0.21114
576.17,414.27,0.21745
576.17,424.73,0.22377
576.17,435.19,0.23171
576.17,445.66,0.23991
576.17,456.12,0.24915
576.17,466.58,0.25914
576.17,477.04,0.26793
576.17,487.51,0.27403
576.17,497.97,0.28014
576.17,508.43,0.30259
576.17,518.89,0.31741
576.17,529.36,0.32646
576.17,539.82,0.33868
576.17,550.28,0.36689
576.17,560.74,0.0
576.17,571.21,0.0
