#: table_doi: 10.17182/hepdata.81726.v1/t15
#: name: Exclusion contour 5 (exp.)
#: description: Expected 95% CL exclusion contours from the on-Z signal regions on the gluino and next-to-lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay to an on-shell Z-boson and a 1 GeV lightest neutralino.
#: data_file: limitsFig14aExp.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO2) [GEV]'
1631.66941281,991.313131313
1627.89459403,971.515151515
1624.27600786,951.717171717
1620.90881562,931.919191919
1619.19191919,920.936158367
1617.87794689,912.121212121
1615.16344441,892.323232323
1612.61404088,872.525252525
1610.09212342,852.727272727
1607.43402373,832.929292929
1604.54545455,813.634390838
1604.47365365,813.131313131
1601.19382586,793.333333333
1600.33250515,788.88444103
1600.28889174,788.659169127
1600.96885195,773.535353535
1601.75592776,753.737373737
1602.51920943,733.939393939
1603.31741928,714.141414141
1604.18689975,694.343434343
1604.54545455,686.955589045
1605.15788883,674.545454545
1606.21135192,654.747474747
1607.2913491,634.949494949
1608.32856168,615.151515152
1609.23781362,595.353535354
1609.92848242,575.555555556
1610.31429921,555.757575758
1610.32092689,535.95959596
1609.89114952,516.161616162
1608.98827105,496.363636364
1607.5981957,476.565656566
1605.7301161,456.767676768
1604.54545455,446.658004214
1603.46980723,436.96969697
1600.89982578,417.171717172
1598.03041607,397.373737374
1594.92750888,377.575757576
1591.64634587,357.777777778
1589.8989899,347.680624921
1588.3165251,337.97979798
1584.95218632,318.181818182
1581.386221,298.383838384
1577.48890136,278.585858586
1575.25252525,268.438435735
1573.20130307,258.787878788
1568.34061473,238.98989899
1562.55078502,219.191919192
1560.60606061,213.450626042
1555.87011498,199.393939394
1548.04142906,179.595959596
1545.95959596,174.898307104
1539.16121992,159.797979798
1531.31313131,144.212287962

