#: table_doi: 10.17182/hepdata.79304.v4/t17
#: name: Table 17
#: description: $\textbf{Exclusion contour 1 (obs.) } -$ Observed 95% excluded regions in the plane of m(STOP) versus m(NEUTRALINO) for the direct stop pair production assuming either stop -> t N1, stop -> b W C1 or stop -> b f f' N1 decay with a branching ratio of 100%.

#: data_file: cont_stop_tN-obs.yaml
#: keyword cmenergies: 13000.0
M(STOP) [GeV],M(NEUTRALINO) [GeV]
298.7,237.08
303.44,240.61
308.19,244.79
312.93,248.98
313.21,249.22
317.68,253.16
322.42,257.3
327.17,261.25
331.91,264.94
335.65,267.86
336.66,268.64
341.4,272.33
346.15,276.02
350.89,279.72
352.86,281.25
355.64,283.42
360.38,286.99
365.13,290.16
366.31,290.9
369.87,293.11
374.62,296.05
376.35,297.13
379.36,297.13
380.16,297.13
379.36,295.65
374.62,289.67
369.87,284.61
365.13,279.73
360.38,275.27
355.64,270.81
350.89,266.35
346.15,260.49
342.23,255.39
341.4,254.21
336.66,247.45
333.25,242.6
336.66,244.45
341.4,247.01
341.55,247.09
346.15,249.39
350.0,251.73
350.89,252.27
354.56,256.29
355.64,257.47
360.38,262.67
365.13,267.87
369.87,273.06
374.62,278.26
379.36,283.46
384.11,288.66
388.85,293.66
393.6,297.79
396.61,298.34
398.34,298.66
403.09,301.25
404.01,301.93
407.83,304.76
412.58,308.27
417.32,311.78
418.65,312.76
422.07,314.98
426.23,316.53
426.81,316.71
431.56,318.14
431.68,318.18
436.3,319.57
437.14,319.82
441.05,320.86
442.33,321.2
445.79,321.78
446.87,321.93
450.54,322.45
451.14,322.4
454.69,322.14
455.28,322.09
458.23,321.87
460.03,321.73
461.77,321.6
463.57,319.59
463.85,316.06
464.57,312.98
464.77,311.1
464.98,309.58
464.77,309.12
461.39,302.18
460.03,299.38
457.77,294.74
460.03,296.37
464.77,299.77
469.52,303.17
471.24,304.41
474.26,307.06
479.01,311.22
483.75,315.37
488.5,319.51
493.24,323.63
497.99,327.75
502.73,332.22
507.48,336.96
512.22,341.69
514.68,344.04
516.97,345.9
521.71,348.79
525.6,351.15
521.71,344.34
520.49,342.23
516.97,337.38
512.22,331.43
507.48,325.49
507.16,325.09
502.73,319.55
497.99,312.95
496.53,310.65
494.58,304.89
493.24,301.34
492.28,298.79
489.99,292.68
488.5,288.74
490.55,284.19
491.41,276.98
492.27,269.77
493.13,262.56
493.87,255.35
499.89,248.14
502.31,247.48
503.14,248.14
505.72,255.35
506.07,262.56
506.43,269.77
506.78,276.98
507.13,284.19
515.43,290.23
528.55,286.68
537.61,284.19
541.67,283.07
554.79,283.84
555.33,284.19
566.59,291.4
567.9,292.24
577.85,298.6
577.77,305.81
574.98,313.02
572.95,320.23
581.02,325.91
592.55,320.23
594.14,319.45
607.26,319.73
608.4,320.23
620.38,325.46
626.65,327.44
633.5,330.21
646.61,333.41
649.25,334.65
659.73,339.57
663.88,341.86
672.85,346.81
676.93,349.07
685.97,355.19
687.81,356.28
699.09,361.89
706.41,363.49
712.2,364.75
715.55,363.49
722.76,356.28
725.32,353.53
729.48,349.07
738.44,344.06
743.14,341.86
751.56,337.92
764.68,340.65
770.5,341.86
777.8,343.38
790.91,346.11
804.03,344.45
811.49,341.86
817.15,339.89
830.27,335.33
832.15,334.65
843.39,330.52
856.5,329.52
869.62,332.5
879.09,334.65
882.74,335.48
895.86,335.02
896.56,334.65
908.98,328.14
909.96,327.44
916.54,320.23
915.39,313.02
913.76,305.81
911.6,298.6
913.92,291.4
914.98,284.19
916.27,276.98
916.09,269.77
915.91,262.56
915.73,255.35
915.67,248.14
915.96,240.93
916.25,233.72
916.54,226.51
916.81,219.3
917.03,212.1
917.23,204.89
918.33,197.68
921.37,190.47
922.1,188.76
924.29,183.26
926.31,176.05
927.23,168.84
927.39,161.63
927.55,154.42
928.27,147.21
929.88,140.0
931.39,132.8
932.63,125.59
933.78,118.38
934.89,111.17
935.21,109.06
936.0,103.96
936.57,96.75
936.5,89.54
936.43,82.33
936.35,75.12
936.28,67.91
935.21,63.48
934.09,60.7
929.05,53.5
928.91,46.29
933.37,39.08
935.21,34.2
935.82,31.87
936.52,24.66
937.22,17.45
937.92,10.24
938.63,3.03

