#: table_doi: 10.17182/hepdata.78219.v1/t33
#: name: Exclusion contour (exp) 1
#: description: Expected exclusion limits at 95% CL for a simplified model assuming $\tilde{t}_{1}$ pair production, decaying via $\tilde{t}_{1}\rightarrow t+\tilde{\chi}_{1}^{0}$ with 100% branching ratio.
#: data_file: Figure9_exp.yaml
#: data_license:   
#: keyword Reactions: P P --> STOP1 STOP1 | STOP1 --> TOP NEUTRALINO1
#: keyword Observables: EXP Exclusion
#: keyword Phrases: SUSY | Third Generation | squark | stop
#: keyword Cmenergies: 13000.0
#: $\sqrt{s}$ [GEV],13000.0
#'m($\tilde{t}_{1}$) [GEV]','m($\tilde{\chi}_{1}^{0}$) [GEV]'
203.0,118.6
203.4,119.0
203.4,120.0
203.3,121.0
204.0,121.7
204.4,122.0
204.3,123.0
205.0,123.7
205.4,124.0
205.3,125.0
205.3,126.0
206.0,126.7
206.3,127.0
206.3,128.0
206.3,129.0
207.0,129.7
207.3,130.0
207.3,131.0
207.3,132.0
208.0,132.7
208.3,133.0
208.3,134.0
209.0,134.7
209.3,135.0
209.3,136.0
209.3,137.0
210.0,137.7
210.3,138.0
210.3,139.0
210.3,140.0
211.0,140.7
211.3,141.0
211.3,142.0
211.3,143.0
212.0,143.7
212.3,144.0
212.3,145.0
213.0,145.7
213.3,146.0
213.3,147.0
213.3,148.0
214.0,148.7
214.3,149.0
214.3,150.0
214.3,151.0
215.0,151.7
215.3,152.0
215.3,153.0
215.3,154.0
216.0,154.7
216.3,155.0
216.3,156.0
217.0,156.7
217.3,157.0
217.3,158.0
217.3,159.0
218.0,159.7
218.3,160.0
218.3,161.0
218.3,162.0
219.0,162.7
219.3,163.0
219.3,164.0
219.3,165.0
220.0,165.7
220.3,166.0
220.3,167.0
221.0,167.7
221.3,168.0
221.3,169.0
221.3,170.0
222.0,170.7
222.3,171.0
222.3,172.0
222.3,173.0
223.0,173.7
223.3,174.0
223.3,175.0
223.3,176.0
224.0,176.7
224.3,177.0
224.3,178.0
225.0,178.7
225.3,179.0
225.3,180.0
225.3,181.0
226.0,181.7
226.3,182.0
226.3,183.0
226.3,184.0
227.0,184.7
227.3,185.0
227.3,186.0
227.3,187.0
228.0,187.7
228.3,188.0
228.3,189.0
229.0,189.7
229.3,190.0
229.3,191.0
229.3,192.0
230.0,192.7
230.3,193.0
230.3,194.0
230.3,195.0
231.0,195.7
231.3,196.0
231.3,197.0
231.3,198.0
232.0,198.7
232.3,199.0
232.3,200.0
233.0,200.7
233.3,201.0
233.3,202.0
233.3,203.0
234.0,203.7
234.3,204.0
234.3,205.0
234.3,206.0
235.0,206.7
235.3,207.0
235.3,208.0
235.3,209.0
236.0,209.7
236.3,210.0
236.3,211.0
237.0,211.7
237.3,212.0
237.3,213.0
237.3,214.0
238.0,214.7
238.3,215.0
238.3,216.0
238.3,217.0
239.0,217.7
239.3,218.0
239.3,219.0
240.0,219.7
240.3,220.0
241.0,220.7
241.3,221.0
241.3,222.0
241.3,223.0
242.0,223.7
242.4,224.0
243.0,224.6
243.4,225.0
243.4,226.0
244.0,226.6
244.4,227.0
245.0,227.6
245.4,228.0
245.5,229.0
246.0,229.5
246.5,230.0
247.0,230.5
247.5,231.0
247.6,232.0
248.0,232.4
248.6,233.0
249.0,233.4
249.7,234.0
249.8,235.0
250.0,235.2
250.9,236.0
251.0,236.1
251.9,237.0
252.0,237.3
252.7,238.0
253.0,238.2
253.9,239.0
254.0,239.1
255.0,240.0
255.0,240.0
256.0,240.9
256.1,241.0
257.0,241.8
257.2,242.0
258.0,242.7
258.4,243.0
259.0,243.6
259.5,244.0
260.0,244.5
260.5,245.0
261.0,245.5
261.6,246.0
262.0,246.4
262.6,247.0
263.0,247.4
263.6,248.0
264.0,248.4
264.6,249.0
265.0,249.4
265.6,250.0
266.0,250.4
266.6,251.0
267.0,251.4
267.6,252.0
268.0,252.4
268.7,253.0
269.0,253.3
269.7,254.0
270.0,254.3
270.8,255.0
271.0,255.2
271.9,256.0
272.0,256.1
273.0,257.0
273.0,257.0
274.0,258.0
274.0,258.0
275.0,258.9
275.1,259.0
276.0,259.8
276.2,260.0
277.0,260.7
277.3,261.0
278.0,261.6
278.4,262.0
279.0,262.6
279.5,263.0
280.0,263.5
280.5,264.0
281.0,264.5
281.5,265.0
282.0,265.5
282.5,266.0
283.0,266.5
283.5,267.0
284.0,267.5
284.5,268.0
285.0,268.5
285.5,269.0
286.0,269.5
286.6,270.0
287.0,270.4
287.6,271.0
288.0,271.4
288.7,272.0
289.0,272.3
289.8,273.0
290.0,273.2
290.9,274.0
291.0,274.1
291.9,275.0
292.0,275.0
293.0,276.0
293.0,276.0
294.0,276.9
294.1,277.0
295.0,277.8
295.2,278.0
296.0,278.7
296.3,279.0
297.0,279.6
297.4,280.0
298.0,280.5
298.5,281.0
299.0,281.5
299.6,282.0
300.0,282.4
300.6,283.0
301.0,283.4
301.6,284.0
302.0,284.4
302.6,285.0
303.0,285.3
303.7,286.0
304.0,286.3
304.7,287.0
305.0,287.3
305.8,288.0
306.0,288.2
306.9,289.0
307.0,289.1
308.0,289.9
308.1,290.0
309.0,290.8
309.2,291.0
310.0,291.7
310.3,292.0
311.0,292.6
311.5,293.0
312.0,293.5
312.6,294.0
313.0,294.4
313.7,295.0
314.0,295.2
314.8,296.0
315.0,296.1
316.0,297.0
316.0,297.0
317.0,297.9
317.1,298.0
318.0,298.8
318.2,299.0
319.0,299.7
319.4,300.0
320.0,300.6
320.5,301.0
321.0,301.5
321.5,302.0
322.0,302.5
322.5,303.0
323.0,303.5
323.6,304.0
324.0,304.4
324.6,305.0
325.0,305.3
325.7,306.0
326.0,306.3
326.8,307.0
327.0,307.2
327.8,308.0
328.0,308.2
328.9,309.0
329.0,309.1
329.9,310.0
330.0,310.1
331.0,311.0
331.0,311.0
332.0,311.8
332.2,312.0
333.0,312.7
333.4,313.0
334.0,313.5
334.6,314.0
335.0,314.3
335.8,315.0
336.0,315.2
337.0,316.0
337.0,316.0
338.0,316.8
338.2,317.0
339.0,317.7
339.4,318.0
340.0,318.5
340.6,319.0
341.0,319.3
341.8,320.0
342.0,320.2
343.0,321.0
343.0,321.0
344.0,321.8
344.2,322.0
345.0,322.6
345.5,323.0
346.0,323.4
347.0,324.0
347.0,324.0
348.0,324.7
348.5,325.0
349.0,325.4
350.0,326.0
350.0,326.0
351.0,326.9
351.1,327.0
352.0,327.7
352.3,328.0
353.0,328.6
353.5,329.0
354.0,329.4
354.7,330.0
355.0,330.3
355.9,331.0
356.0,331.1
357.0,332.0
357.0,332.0
358.0,332.8
358.2,333.0
359.0,333.7
359.4,334.0
360.0,334.5
360.6,335.0
361.0,335.3
361.8,336.0
362.0,336.2
363.0,336.9
363.1,337.0
364.0,337.7
364.4,338.0
365.0,338.5
365.7,339.0
366.0,339.3
367.0,340.0
367.0,340.0
368.0,340.8
368.3,341.0
369.0,341.6
369.6,342.0
370.0,342.3
370.8,343.0
371.0,343.1
372.0,343.9
372.1,344.0
373.0,344.7
373.4,345.0
374.0,345.4
374.7,346.0
375.0,346.2
376.0,347.0
376.0,347.0
377.0,347.7
377.3,348.0
378.0,348.5
378.6,349.0
379.0,349.3
379.9,350.0
380.0,350.1
380.9,351.0
381.0,351.1
381.9,352.0
382.0,352.2
382.8,353.0
383.0,353.2
383.8,354.0
384.0,354.2
384.7,355.0
385.0,355.3
385.7,356.0
386.0,356.3
386.7,357.0
387.0,357.3
387.8,358.0
388.0,358.2
389.0,359.0
389.0,359.0
390.0,359.8
390.3,360.0
391.0,360.6
391.6,361.0
392.0,361.3
392.8,362.0
393.0,362.1
394.0,362.9
394.1,363.0
395.0,363.7
395.4,364.0
396.0,364.5
396.7,365.0
397.0,365.2
398.0,366.0
398.0,366.0
399.0,366.8
399.3,367.0
400.0,367.6
400.6,368.0
401.0,368.3
401.9,369.0
402.0,369.0
403.0,369.8
403.3,370.0
404.0,370.5
404.7,371.0
405.0,371.2
406.0,371.9
406.1,372.0
407.0,372.6
407.5,373.0
408.0,373.3
408.9,374.0
409.0,374.0
409.4,374.0
410.0,373.6
411.0,373.0
410.7,372.0
410.2,371.0
410.0,370.7
409.6,370.0
409.0,369.0
409.0,369.0
408.4,368.0
408.0,367.2
407.9,367.0
407.3,366.0
407.0,365.5
406.7,365.0
406.1,364.0
406.0,363.7
405.6,363.0
405.0,362.0
405.0,362.0
404.4,361.0
404.0,360.3
403.9,360.0
403.3,359.0
403.0,358.5
402.7,358.0
402.1,357.0
402.0,356.8
401.6,356.0
401.0,355.0
401.0,355.0
400.4,354.0
400.0,353.3
399.9,353.0
399.4,352.0
399.0,351.3
398.9,351.0
398.4,350.0
398.0,349.6
397.5,349.0
397.0,348.5
396.4,348.0
396.0,347.7
395.2,347.0
395.0,346.8
394.1,346.0
394.0,345.9
393.0,345.1
392.9,345.0
392.0,344.2
391.8,344.0
391.0,343.3
390.6,343.0
390.0,342.4
389.5,342.0
389.0,341.6
388.3,341.0
388.0,340.7
387.2,340.0
387.0,339.8
386.1,339.0
386.0,339.0
385.0,338.1
384.9,338.0
384.0,337.2
383.8,337.0
383.0,336.3
382.6,336.0
382.0,335.5
381.5,335.0
381.0,334.6
380.3,334.0
380.0,333.7
379.5,333.0
379.0,332.2
378.9,332.0
378.2,331.0
378.0,330.7
377.6,330.0
377.0,329.1
376.9,329.0
376.3,328.0
376.0,327.6
375.6,327.0
375.0,326.0
375.0,326.0
374.3,325.0
374.0,324.5
373.7,324.0
373.0,323.0
373.0,323.0
372.3,322.0
372.0,321.6
371.6,321.0

