#: table_doi: 10.17182/hepdata.78219.v1/t34
#: name: Exclusion contour (obs) 1
#: description: Observed exclusion limits at 95% CL for a simplified model assuming $\tilde{t}_{1}$ pair production, decaying via $\tilde{t}_{1}\rightarrow t+\tilde{\chi}_{1}^{0}$ with 100% branching ratio.
#: data_file: Figure9_obs.yaml
#: data_license:   
#: keyword Reactions: P P --> STOP1 STOP1 | STOP1 --> TOP NEUTRALINO1
#: keyword Observables: OBS Exclusion
#: keyword Phrases: SUSY | Third Generation | squark | stop
#: keyword Cmenergies: 13000.0
#: $\sqrt{s}$ [GEV],13000.0
#'m($\tilde{t}_{1}$) [GEV]','m($\tilde{\chi}_{1}^{0}$) [GEV]'
359.0,208.8
358.2,208.0
358.0,207.8
357.2,207.0
357.0,206.8
356.2,206.0
356.0,205.8
355.3,205.0
355.0,204.7
354.3,204.0
354.0,203.7
353.3,203.0
353.0,202.7
352.3,202.0
352.0,201.7
351.3,201.0
351.0,200.7
350.3,200.0
350.0,199.7
349.5,199.0
349.0,198.4
348.7,198.0
348.0,197.0
348.0,197.0
347.3,196.0
347.0,195.6
346.5,195.0
346.0,194.3
345.8,194.0
345.0,193.0
345.0,192.9
344.3,192.0
344.0,191.6
343.6,191.0
343.0,190.2
342.8,190.0
342.1,189.0
342.0,188.9
341.4,188.0
341.0,187.5
340.6,187.0
340.0,186.2
339.9,186.0
339.1,185.0
339.0,184.8
338.4,184.0
338.0,183.4
337.7,183.0
337.0,182.1
336.9,182.0
336.2,181.0
336.0,180.7
335.5,180.0
335.0,179.4
334.7,179.0
334.0,178.0
334.0,178.0
333.2,177.0
333.0,176.7
332.5,176.0
332.0,175.4
331.6,175.0
331.0,174.3
330.7,174.0
330.0,173.3
329.7,173.0
329.0,172.3
328.8,172.0
328.0,171.2
327.8,171.0
327.0,170.2
326.8,170.0
326.0,169.1
325.9,169.0
325.0,168.1
324.9,168.0
324.0,167.1
323.9,167.0
323.0,166.0
323.0,166.0
322.0,165.0
322.0,165.0
321.1,164.0
321.0,163.9
320.1,163.0
320.0,162.9
319.1,162.0
319.0,161.9
318.2,161.0
318.0,160.8
317.3,160.0
317.0,159.7
316.4,159.0
316.0,158.5
315.6,158.0
315.0,157.3
314.8,157.0
314.0,156.1
314.0,156.0
313.1,155.0
313.0,154.8
312.3,154.0
312.0,153.6
311.5,153.0
311.0,152.4
310.7,152.0
310.0,151.1
309.9,151.0
309.1,150.0
309.0,149.9
308.3,149.0
308.0,148.7
307.4,148.0
307.0,147.5
306.6,147.0
306.0,146.2
305.8,146.0
305.0,145.0
305.0,145.0
304.2,144.0
304.0,143.8
303.4,143.0
303.0,142.5
302.6,142.0
302.0,141.3
301.8,141.0
301.0,140.1
300.9,140.0
300.1,139.0
300.0,138.8
299.0,138.0
299.0,138.0
298.0,137.1
297.8,137.0
297.0,136.3
296.7,136.0
296.0,135.4
295.5,135.0
295.0,134.6
294.3,134.0
294.0,133.7
293.1,133.0
293.0,132.9
292.0,132.0
291.9,132.0
291.0,131.2
290.8,131.0
290.0,130.3
289.6,130.0
289.0,129.5
288.4,129.0
288.0,128.6
287.2,128.0
287.0,127.8
286.1,127.0
286.0,126.9
285.0,126.1
284.9,126.0
284.0,125.2
283.8,125.0
283.0,124.3
282.7,124.0
282.0,123.3
281.6,123.0
281.0,122.4
280.6,122.0
280.0,121.5
279.5,121.0
279.0,120.5
278.4,120.0
278.0,119.6
277.4,119.0
277.0,118.7
276.3,118.0
276.0,117.7
275.2,117.0
275.0,116.8
274.2,116.0
274.0,115.9
273.1,115.0
273.0,114.9
272.0,114.0
272.0,114.0
271.0,113.1
270.9,113.0
270.0,112.1
269.9,112.0
269.0,111.2
268.8,111.0
268.0,110.3
267.8,110.0
267.0,109.3
266.8,109.0
266.0,108.2
265.8,108.0
265.0,107.0
265.0,107.0
264.2,106.0
264.0,105.8
263.3,105.0
263.0,104.6
262.5,104.0
262.0,103.4
261.6,103.0
261.0,102.2
260.8,102.0
260.0,101.0
260.0,101.0
259.1,100.0
259.0,99.8
258.3,99.0
258.0,98.7
257.5,98.0
257.0,97.5
256.6,97.0
256.0,96.3
255.8,96.0
255.0,95.1
254.9,95.0
254.1,94.0
254.0,93.9
253.3,93.0
253.0,92.7
252.4,92.0
252.0,91.5
251.6,91.0
251.0,90.3
250.8,90.0
250.0,89.1
249.9,89.0
249.0,88.2
248.8,88.0
248.0,87.2
247.7,87.0
247.0,86.3
246.7,86.0
246.0,85.4
245.6,85.0
245.0,84.5
244.5,84.0
244.0,83.5
243.4,83.0
243.0,82.6
242.3,82.0
242.0,81.7
241.2,81.0
241.0,80.8
240.2,80.0
240.0,79.8
239.1,79.0
239.0,78.9
238.0,78.1
237.9,78.0
237.0,77.2
236.7,77.0
236.0,76.4
235.6,76.0
235.0,75.5
234.4,75.0
234.0,74.7
233.2,74.0
233.0,73.8
232.0,73.0
232.0,73.0
231.0,72.1
230.9,72.0
230.0,71.3
229.7,71.0
229.0,70.4
228.5,70.0
228.0,69.6
227.3,69.0
227.0,68.7
226.2,68.0
226.0,67.9
225.0,67.0
225.0,67.0
224.1,66.0
224.0,65.9
223.2,65.0
223.0,64.8
222.3,64.0
222.0,63.7
221.4,63.0
221.0,62.6
220.5,62.0
220.0,61.5
219.6,61.0
219.0,60.4
218.7,60.0
218.0,59.2
217.8,59.0
217.0,58.1
216.8,58.0
216.0,57.0
215.9,57.0
215.0,56.1
214.0,56.3
213.0,56.5
212.0,56.7
211.0,56.9
210.5,57.0
210.0,57.1
209.0,57.3
208.0,57.5
207.0,57.7
206.0,57.9
205.3,58.0
205.0,58.1
204.0,58.2
203.0,58.4
202.0,58.6
201.0,58.8
200.0,59.0
200.0,59.0
200.0,60.0
199.9,61.0
199.9,62.0
199.8,63.0
199.8,64.0
199.8,65.0
199.8,66.0
199.7,67.0
199.7,68.0
199.7,69.0
199.7,70.0
199.6,71.0
199.6,72.0
199.6,73.0
199.6,74.0
199.6,75.0
199.6,76.0
199.5,77.0
199.5,78.0
199.5,79.0
199.5,80.0
199.5,81.0
199.5,82.0
199.5,83.0
199.5,84.0
199.5,85.0
199.4,86.0
199.4,87.0
199.4,88.0
199.4,89.0
199.4,90.0
199.4,91.0
199.4,92.0
199.4,93.0
199.4,94.0
199.4,95.0
199.4,96.0
199.4,97.0
199.4,98.0
199.4,99.0
199.3,100.0
199.3,101.0
199.3,102.0
199.3,103.0
199.3,104.0
199.3,105.0
199.3,106.0
199.3,107.0
199.3,108.0
199.3,109.0
199.3,110.0
200.0,110.7
200.3,111.0
200.3,112.0
201.0,112.7
201.3,113.0
201.3,114.0
201.3,115.0
202.0,115.7
202.3,116.0
202.3,117.0
202.3,118.0
203.0,118.7
203.3,119.0
203.3,120.0
203.3,121.0
204.0,121.7
204.3,122.0
204.3,123.0
205.0,123.7
205.3,124.0
205.3,125.0
205.3,126.0
206.0,126.7
206.3,127.0
206.3,128.0
206.3,129.0
207.0,129.7
207.3,130.0
207.3,131.0
207.3,132.0
208.0,132.7
208.3,133.0
208.3,134.0
209.0,134.7
209.3,135.0
209.3,136.0
209.3,137.0
210.0,137.7
210.3,138.0
210.3,139.0
210.3,140.0
211.0,140.7
211.3,141.0
211.3,142.0
211.3,143.0
212.0,143.7
212.3,144.0
212.3,145.0
213.0,145.7
213.3,146.0
213.3,147.0
213.3,148.0
214.0,148.7
214.3,149.0
214.3,150.0
214.3,151.0
215.0,151.7
215.3,152.0
215.3,153.0
215.3,154.0
216.0,154.7
216.3,155.0
216.3,156.0
217.0,156.7
217.3,157.0
217.3,158.0
217.3,159.0
218.0,159.7
218.3,160.0
218.3,161.0
218.3,162.0
219.0,162.7
219.3,163.0
219.3,164.0
219.3,165.0
220.0,165.7
220.3,166.0
220.3,167.0
221.0,167.7
221.3,168.0
221.3,169.0
221.3,170.0
222.0,170.7
222.3,171.0
222.3,172.0
222.3,173.0
223.0,173.7
223.3,174.0
223.3,175.0
223.3,176.0
224.0,176.7
224.3,177.0
224.3,178.0
225.0,178.7
225.3,179.0
225.3,180.0
225.3,181.0
226.0,181.7
226.3,182.0
226.3,183.0
226.3,184.0
227.0,184.7
227.3,185.0
227.3,186.0
227.3,187.0
228.0,187.7
228.3,188.0
228.3,189.0
229.0,189.7
229.3,190.0
229.3,191.0
229.3,192.0
230.0,192.7
230.3,193.0
230.3,194.0
230.3,195.0
231.0,195.7
231.3,196.0
231.3,197.0
231.3,198.0
232.0,198.7
232.3,199.0
232.3,200.0
233.0,200.7
233.3,201.0
233.3,202.0
233.3,203.0
234.0,203.7
234.3,204.0
234.3,205.0
234.3,206.0
235.0,206.7
235.3,207.0
235.3,208.0
235.3,209.0
236.0,209.7
236.3,210.0
236.3,211.0
237.0,211.7
237.3,212.0
237.3,213.0
237.3,214.0
238.0,214.7
238.3,215.0
238.3,216.0
238.3,217.0
239.0,217.7
239.3,218.0
239.3,219.0
240.0,219.7
240.3,220.0
241.0,220.7
241.3,221.0
241.3,222.0
241.4,223.0
242.0,223.6
242.4,224.0
243.0,224.6
243.4,225.0
243.4,226.0
244.0,226.6
244.4,227.0
245.0,227.6
245.4,228.0
245.5,229.0
246.0,229.5
246.5,230.0
247.0,230.5
247.5,231.0
247.6,232.0
248.0,232.4
248.7,233.0
249.0,233.3
249.7,234.0
249.9,235.0
250.0,235.1
250.9,236.0
251.0,236.1
251.9,237.0
252.0,237.2
252.9,238.0
253.0,238.1
254.0,239.0
254.0,239.0
255.0,239.9
255.2,240.0
256.0,240.8
256.3,241.0
257.0,241.6
257.4,242.0
258.0,242.5
258.5,243.0
259.0,243.4
259.7,244.0
260.0,244.3
260.7,245.0
261.0,245.3
261.7,246.0
262.0,246.3
262.7,247.0
263.0,247.3
263.7,248.0
264.0,248.3
264.7,249.0
265.0,249.3
265.7,250.0
266.0,250.3
266.8,251.0
267.0,251.2
267.8,252.0
268.0,252.2
268.8,253.0
269.0,253.2
269.9,254.0
270.0,254.1
271.0,255.0
271.0,255.0
272.0,255.9
272.1,256.0
273.0,256.9
273.1,257.0
274.0,257.8
274.2,258.0
275.0,258.7
275.3,259.0
276.0,259.6
276.4,260.0
277.0,260.5
277.5,261.0
278.0,261.5
278.6,262.0
279.0,262.4
279.7,263.0
280.0,263.3
280.7,264.0
281.0,264.3
281.7,265.0
282.0,265.3
282.7,266.0
283.0,266.3
283.7,267.0
284.0,267.3
284.7,268.0
285.0,268.3
285.7,269.0
286.0,269.3
286.8,270.0
287.0,270.2
287.8,271.0
288.0,271.2
288.9,272.0
289.0,272.1
290.0,273.0
290.0,273.0
291.0,273.9
291.1,274.0
292.0,274.8
292.2,275.0
293.0,275.7
293.3,276.0
294.0,276.6
294.4,277.0
295.0,277.5
295.5,278.0
296.0,278.4
296.6,279.0
297.0,279.4
297.7,280.0
298.0,280.3
298.8,281.0
299.0,281.2
299.9,282.0
300.0,282.1
300.9,283.0
301.0,283.1
301.9,284.0
302.0,284.1
302.9,285.0
303.0,285.1
303.9,286.0
304.0,286.1
305.0,287.0
305.0,287.0
306.0,287.8
306.2,288.0
307.0,288.7
307.3,289.0
308.0,289.6
308.5,290.0
309.0,290.5
309.6,291.0
310.0,291.4
310.7,292.0
311.0,292.2
311.9,293.0
312.0,293.1
313.0,294.0
313.0,294.0
314.0,294.9
314.2,295.0
315.0,295.7
315.3,296.0
316.0,296.6
316.4,297.0
317.0,297.5
317.6,298.0
318.0,298.4
318.7,299.0
319.0,299.3
319.8,300.0
320.0,300.1
320.9,301.0
321.0,301.1
322.0,302.0
322.0,302.0
323.0,303.0
323.1,303.0
324.0,303.8
324.3,304.0
325.0,304.6
325.5,305.0
326.0,305.5
326.7,306.0
327.0,306.3
327.8,307.0
328.0,307.1
329.0,308.0
329.0,308.0
330.0,308.8
330.2,309.0
331.0,309.6
331.4,310.0
332.0,310.5
332.6,311.0
333.0,311.3
333.8,312.0
334.0,312.1
335.0,313.0
335.0,313.0
336.0,313.8
336.2,314.0
337.0,314.6
337.4,315.0
338.0,315.5
338.6,316.0
339.0,316.3
339.8,317.0
340.0,317.1
341.0,318.0
341.0,318.0
342.0,318.8
342.3,319.0
343.0,319.6
343.6,320.0
344.0,320.3
345.0,321.0
345.0,321.0
346.0,321.6
346.6,322.0
347.0,322.2
348.0,322.9
348.2,323.0
349.0,323.5
349.7,324.0
350.0,324.2
351.0,325.0
351.0,325.0
352.0,325.9
352.1,326.0
353.0,326.7
353.3,327.0
354.0,327.6
354.5,328.0
355.0,328.5
355.6,329.0
356.0,329.3
356.8,330.0
357.0,330.2
357.9,331.0
358.0,331.1
359.0,331.9
359.1,332.0
360.0,332.8
360.3,333.0
361.0,333.6
361.4,334.0
362.0,334.5
362.6,335.0
363.0,335.4
363.7,336.0
364.0,336.2
364.9,337.0
365.0,337.1
366.0,338.0
366.1,338.0
367.0,338.7
367.3,339.0
368.0,339.5
368.6,340.0
369.0,340.3
370.0,341.0
370.0,341.0
371.0,341.8
371.3,342.0
372.0,342.6
372.6,343.0
373.0,343.3
373.9,344.0
374.0,344.1
375.0,344.9
375.2,345.0
376.0,345.6
376.5,346.0
377.0,346.4
377.8,347.0
378.0,347.2
379.0,348.0
379.1,348.0
380.0,348.7
380.3,349.0
381.0,349.8
381.2,350.0
382.0,350.8
382.2,351.0
383.0,351.9
383.1,352.0
384.0,352.9
384.1,353.0
385.0,354.0
385.0,354.0
386.0,354.9
386.2,355.0
387.0,355.6
387.5,356.0
388.0,356.4
388.8,357.0
389.0,357.1
390.0,357.9
390.1,358.0
391.0,358.6
391.5,359.0
392.0,359.4
392.8,360.0
393.0,360.2
394.0,360.9
394.1,361.0
395.0,361.7
395.4,362.0
396.0,362.4
396.8,363.0
397.0,363.2
398.0,363.9
398.1,364.0
399.0,364.7
399.4,365.0
400.0,365.4
400.8,366.0
401.0,366.2
401.6,366.0
401.2,365.0
401.0,364.7
400.6,364.0
400.1,363.0
400.0,362.9
399.6,362.0
399.1,361.0
399.0,360.7
398.7,360.0
398.2,359.0
398.0,358.6
397.7,358.0
397.3,357.0
397.0,356.5
396.8,356.0
396.3,355.0
396.0,354.3
395.9,354.0
395.4,353.0
395.0,352.2
394.9,352.0
394.5,351.0
394.0,350.0
394.0,350.0
393.5,349.0
393.0,348.2
392.9,348.0
392.0,347.2
391.7,347.0
391.0,346.3
390.6,346.0
390.0,345.5
389.5,345.0
389.0,344.6
388.4,344.0
388.0,343.7
387.2,343.0
387.0,342.8
386.1,342.0
386.0,341.9
385.0,341.0
385.0,341.0
384.0,340.1
383.9,340.0
383.0,339.2
382.7,339.0
382.0,338.3
381.6,338.0
381.0,337.5
380.5,337.0
380.0,336.6
379.6,336.0
379.0,335.0
379.0,335.0
378.3,334.0
378.0,333.5
377.7,333.0
377.0,332.0
377.0,332.0
376.4,331.0
376.0,330.4
375.7,330.0
375.1,329.0
375.0,328.9
374.4,328.0
374.0,327.3
373.8,327.0
373.1,326.0
373.0,325.8
372.5,325.0
372.0,324.3
371.8,324.0
371.2,323.0
371.0,322.7
370.5,322.0
370.0,321.2
369.9,321.0
369.2,320.0
369.0,319.7
368.6,319.0
368.0,318.1
367.9,318.0
367.2,317.0
367.0,316.6
366.6,316.0
366.0,315.2
365.9,315.0
365.2,314.0
365.0,313.7
364.5,313.0
364.0,312.2
363.8,312.0
363.1,311.0
363.0,310.8
362.5,310.0
362.0,309.3
361.8,309.0
361.1,308.0
361.0,307.9
360.4,307.0
360.0,306.4
359.7,306.0
359.1,305.0
359.0,304.9
358.4,304.0
358.0,303.5
357.7,303.0
357.0,302.0
357.0,302.0
356.3,301.0
356.0,300.5
355.6,300.0
355.0,299.1
355.0,299.0
355.0,299.0
356.0,298.0
356.0,297.9
356.9,297.0
357.0,296.9
357.9,296.0
358.0,295.9
358.9,295.0

