#: table_doi: 10.17182/hepdata.90835.v1/t77
#: name: T2tt significance
#: description: The observed significance of the SMS models for T2tt as function of the top squark and LSP masses. 
#: data_file: t2tt_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: Significance,
M(STOP) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
157.01,660.78,0.0
157.01,669.75,0.0
157.01,678.73,0.0
157.01,687.71,0.0
157.01,696.68,0.0
157.01,705.66,0.0
157.01,714.64,0.0
157.01,723.61,0.0
157.01,732.59,0.0
157.01,741.57,0.0
157.01,750.54,0.0
157.01,759.52,0.0
157.01,768.5,0.0
157.01,777.47,0.0
157.01,786.45,0.0
157.01,795.43,0.0
157.01,804.4,0.0
157.01,813.38,0.0
157.01,822.36,0.0
157.01,831.33,0.0
157.01,840.31,0.0
157.01,849.29,0.0
157.01,858.26,0.0
157.01,867.24,0.0
157.01,876.21,0.0
157.01,885.19,0.0
157.01,894.17,0.0
157.01,903.14,0.0
157.01,912.12,0.0
157.01,921.1,0.0
157.01,930.07,0.0
157.01,939.05,0.0
157.01,948.03,0.0
157.01,957.0,0.0
157.01,965.98,0.0
157.01,974.96,0.0
157.01,983.93,0.0
157.01,992.91,0.0
157.01,1001.9,0.0
157.01,1010.9,0.0
157.01,1019.8,0.0
157.01,1028.8,0.0
157.01,1037.8,0.0
157.01,1046.8,0.0
157.01,1055.7,0.0
157.01,1064.7,0.0
157.01,1073.7,0.0
157.01,1082.7,0.0
157.01,1091.7,0.0
157.01,1100.6,0.0
157.01,1109.6,0.0
157.01,1118.6,0.0
157.01,1127.6,0.0
157.01,1136.5,0.0
157.01,1145.5,0.0
171.02,5.4883,-0.31313
171.02,14.465,0.38156
171.02,23.441,0.64632
171.02,32.418,1.0188
171.02,41.395,0.78073
171.02,50.371,0.53093
171.02,59.348,0.18774
171.02,68.324,-0.1135
171.02,77.301,-0.32219
171.02,86.277,0.0
171.02,95.254,0.0
171.02,104.23,0.0
171.02,113.21,0.0
171.02,122.18,0.0
171.02,131.16,0.0
171.02,140.14,0.0
171.02,149.11,0.0
171.02,158.09,0.0
171.02,167.07,0.0
171.02,176.04,0.0
171.02,185.02,0.0
171.02,194.0,0.0
171.02,202.97,0.0
171.02,211.95,0.0
171.02,220.93,0.0
171.02,229.9,0.0
171.02,238.88,0.0
171.02,247.86,0.0
171.02,256.83,0.0
171.02,265.81,0.0
171.02,274.79,0.0
171.02,283.76,0.0
171.02,292.74,0.0
171.02,301.71,0.0
171.02,310.69,0.0
171.02,319.67,0.0
171.02,328.64,0.0
171.02,337.62,0.0
171.02,346.6,0.0
171.02,355.57,0.0
171.02,364.55,0.0
171.02,373.53,0.0
171.02,382.5,0.0
171.02,391.48,0.0
171.02,400.46,0.0
171.02,409.43,0.0
171.02,418.41,0.0
171.02,427.39,0.0
171.02,436.36,0.0
171.02,445.34,0.0
171.02,454.32,0.0
171.02,463.29,0.0
171.02,472.27,0.0
171.02,481.25,0.0
171.02,490.22,0.0
171.02,499.2,0.0
171.02,508.18,0.0
171.02,517.15,0.0
171.02,526.13,0.0
171.02,535.11,0.0
171.02,544.08,0.0
171.02,553.06,0.0
171.02,562.04,0.0
171.02,571.01,0.0
171.02,579.99,0.0
171.02,588.96,0.0
171.02,597.94,0.0
171.02,606.92,0.0
171.02,615.89,0.0
171.02,624.87,0.0
171.02,633.85,0.0
171.02,642.82,0.0
171.02,651.8,0.0
171.02,660.78,0.0
171.02,669.75,0.0
171.02,678.73,0.0
171.02,687.71,0.0
171.02,696.68,0.0
171.02,705.66,0.0
171.02,714.64,0.0
171.02,723.61,0.0
171.02,732.59,0.0
171.02,741.57,0.0
171.02,750.54,0.0
171.02,759.52,0.0
171.02,768.5,0.0
171.02,777.47,0.0
171.02,786.45,0.0
171.02,795.43,0.0
171.02,804.4,0.0
171.02,813.38,0.0
171.02,822.36,0.0
171.02,831.33,0.0
171.02,840.31,0.0
171.02,849.29,0.0
171.02,858.26,0.0
171.02,867.24,0.0
171.02,876.21,0.0
171.02,885.19,0.0
171.02,894.17,0.0
171.02,903.14,0.0
171.02,912.12,0.0
171.02,921.1,0.0
171.02,930.07,0.0
171.02,939.05,0.0
171.02,948.03,0.0
171.02,957.0,0.0
171.02,965.98,0.0
171.02,974.96,0.0
171.02,983.93,0.0
171.02,992.91,0.0
171.02,1001.9,0.0
171.02,1010.9,0.0
171.02,1019.8,0.0
171.02,1028.8,0.0
171.02,1037.8,0.0
171.02,1046.8,0.0
171.02,1055.7,0.0
171.02,1064.7,0.0
171.02,1073.7,0.0
171.02,1082.7,0.0
171.02,1091.7,0.0
171.02,1100.6,0.0
171.02,1109.6,0.0
171.02,1118.6,0.0
171.02,1127.6,0.0
171.02,1136.5,0.0
171.02,1145.5,0.0
185.04,5.4883,0.78279
185.04,14.465,0.93767
185.04,23.441,1.0583
185.04,32.418,0.88252
185.04,41.395,0.54125
185.04,50.371,0.15628
185.04,59.348,-0.14496
185.04,68.324,-0.39098
185.04,77.301,-0.532
185.04,86.277,-0.58251
185.04,95.254,-0.57068
185.04,104.23,0.0
185.04,113.21,0.0
185.04,122.18,0.0
185.04,131.16,0.0
185.04,140.14,0.0
185.04,149.11,0.0
185.04,158.09,0.0
185.04,167.07,0.0
185.04,176.04,0.0
185.04,185.02,0.0
185.04,194.0,0.0
185.04,202.97,0.0
185.04,211.95,0.0
185.04,220.93,0.0
185.04,229.9,0.0
185.04,238.88,0.0
185.04,247.86,0.0
185.04,256.83,0.0
185.04,265.81,0.0
185.04,274.79,0.0
185.04,283.76,0.0
185.04,292.74,0.0
185.04,301.71,0.0
185.04,310.69,0.0
185.04,319.67,0.0
185.04,328.64,0.0
185.04,337.62,0.0
185.04,346.6,0.0
185.04,355.57,0.0
185.04,364.55,0.0
185.04,373.53,0.0
185.04,382.5,0.0
185.04,391.48,0.0
185.04,400.46,0.0
185.04,409.43,0.0
185.04,418.41,0.0
185.04,427.39,0.0
185.04,436.36,0.0
185.04,445.34,0.0
185.04,454.32,0.0
185.04,463.29,0.0
185.04,472.27,0.0
185.04,481.25,0.0
185.04,490.22,0.0
185.04,499.2,0.0
185.04,508.18,0.0
185.04,517.15,0.0
185.04,526.13,0.0
185.04,535.11,0.0
185.04,544.08,0.0
185.04,553.06,0.0
185.04,562.04,0.0
185.04,571.01,0.0
185.04,579.99,0.0
185.04,588.96,0.0
185.04,597.94,0.0
185.04,606.92,0.0
185.04,615.89,0.0
185.04,624.87,0.0
185.04,633.85,0.0
185.04,642.82,0.0
185.04,651.8,0.0
185.04,660.78,0.0
185.04,669.75,0.0
185.04,678.73,0.0
185.04,687.71,0.0
185.04,696.68,0.0
185.04,705.66,0.0
185.04,714.64,0.0
185.04,723.61,0.0
185.04,732.59,0.0
185.04,741.57,0.0
185.04,750.54,0.0
185.04,759.52,0.0
185.04,768.5,0.0
185.04,777.47,0.0
185.04,786.45,0.0
185.04,795.43,0.0
185.04,804.4,0.0
185.04,813.38,0.0
185.04,822.36,0.0
185.04,831.33,0.0
185.04,840.31,0.0
185.04,849.29,0.0
185.04,858.26,0.0
185.04,867.24,0.0
185.04,876.21,0.0
185.04,885.19,0.0
185.04,894.17,0.0
185.04,903.14,0.0
185.04,912.12,0.0
185.04,921.1,0.0
185.04,930.07,0.0
185.04,939.05,0.0
185.04,948.03,0.0
185.04,957.0,0.0
185.04,965.98,0.0
185.04,974.96,0.0
185.04,983.93,0.0
185.04,992.91,0.0
185.04,1001.9,0.0
185.04,1010.9,0.0
185.04,1019.8,0.0
185.04,1028.8,0.0
185.04,1037.8,0.0
185.04,1046.8,0.0
185.04,1055.7,0.0
185.04,1064.7,0.0
185.04,1073.7,0.0
185.04,1082.7,0.0
185.04,1091.7,0.0
185.04,1100.6,0.0
185.04,1109.6,0.0
185.04,1118.6,0.0
185.04,1127.6,0.0
185.04,1136.5,0.0
185.04,1145.5,0.0
199.05,5.4883,-0.71712
199.05,14.465,-0.65015
199.05,23.441,-0.58317
199.05,32.418,-0.42119
199.05,41.395,-0.23925
199.05,50.371,-0.26536
199.05,59.348,-0.42864
199.05,68.324,-0.58245
199.05,77.301,-0.69586
199.05,86.277,-0.66272
199.05,95.254,-0.62957
199.05,104.23,-0.63742
199.05,113.21,0.0
199.05,122.18,0.0
199.05,131.16,0.0
199.05,140.14,0.0
199.05,149.11,0.0
199.05,158.09,0.0
199.05,167.07,0.0
199.05,176.04,0.0
199.05,185.02,0.0
199.05,194.0,0.0
199.05,202.97,0.0
199.05,211.95,0.0
199.05,220.93,0.0
199.05,229.9,0.0
199.05,238.88,0.0
199.05,247.86,0.0
199.05,256.83,0.0
199.05,265.81,0.0
199.05,274.79,0.0
199.05,283.76,0.0
199.05,292.74,0.0
199.05,301.71,0.0
199.05,310.69,0.0
199.05,319.67,0.0
199.05,328.64,0.0
199.05,337.62,0.0
199.05,346.6,0.0
199.05,355.57,0.0
199.05,364.55,0.0
199.05,373.53,0.0
199.05,382.5,0.0
199.05,391.48,0.0
199.05,400.46,0.0
199.05,409.43,0.0
199.05,418.41,0.0
199.05,427.39,0.0
199.05,436.36,0.0
199.05,445.34,0.0
199.05,454.32,0.0
199.05,463.29,0.0
199.05,472.27,0.0
199.05,481.25,0.0
199.05,490.22,0.0
199.05,499.2,0.0
199.05,508.18,0.0
199.05,517.15,0.0
199.05,526.13,0.0
199.05,535.11,0.0
199.05,544.08,0.0
199.05,553.06,0.0
199.05,562.04,0.0
199.05,571.01,0.0
199.05,579.99,0.0
199.05,588.96,0.0
199.05,597.94,0.0
199.05,606.92,0.0
199.05,615.89,0.0
199.05,624.87,0.0
199.05,633.85,0.0
199.05,642.82,0.0
199.05,651.8,0.0
199.05,660.78,0.0
199.05,669.75,0.0
199.05,678.73,0.0
199.05,687.71,0.0
199.05,696.68,0.0
199.05,705.66,0.0
199.05,714.64,0.0
199.05,723.61,0.0
199.05,732.59,0.0
199.05,741.57,0.0
199.05,750.54,0.0
199.05,759.52,0.0
199.05,768.5,0.0
199.05,777.47,0.0
199.05,786.45,0.0
199.05,795.43,0.0
199.05,804.4,0.0
199.05,813.38,0.0
199.05,822.36,0.0
199.05,831.33,0.0
199.05,840.31,0.0
199.05,849.29,0.0
199.05,858.26,0.0
199.05,867.24,0.0
199.05,876.21,0.0
199.05,885.19,0.0
199.05,894.17,0.0
199.05,903.14,0.0
199.05,912.12,0.0
199.05,921.1,0.0
199.05,930.07,0.0
199.05,939.05,0.0
199.05,948.03,0.0
199.05,957.0,0.0
199.05,965.98,0.0
199.05,974.96,0.0
199.05,983.93,0.0
199.05,992.91,0.0
199.05,1001.9,0.0
199.05,1010.9,0.0
199.05,1019.8,0.0
199.05,1028.8,0.0
199.05,1037.8,0.0
199.05,1046.8,0.0
199.05,1055.7,0.0
199.05,1064.7,0.0
199.05,1073.7,0.0
199.05,1082.7,0.0
199.05,1091.7,0.0
199.05,1100.6,0.0
199.05,1109.6,0.0
199.05,1118.6,0.0
199.05,1127.6,0.0
199.05,1136.5,0.0
199.05,1145.5,0.0
213.07,5.4883,-1.0054
213.07,14.465,-0.67201
213.07,23.441,-0.34705
213.07,32.418,-0.0080294
213.07,41.395,0.27724
213.07,50.371,0.38511
213.07,59.348,0.13281
213.07,68.324,-0.26896
213.07,77.301,-0.55926
213.07,86.277,-0.52611
213.07,95.254,-0.66119
213.07,104.23,-0.761
213.07,113.21,-0.78299
213.07,122.18,-0.78249
213.07,131.16,0.0
213.07,140.14,0.0
213.07,149.11,0.0
213.07,158.09,0.0
213.07,167.07,0.0
213.07,176.04,0.0
213.07,185.02,0.0
213.07,194.0,0.0
213.07,202.97,0.0
213.07,211.95,0.0
213.07,220.93,0.0
213.07,229.9,0.0
213.07,238.88,0.0
213.07,247.86,0.0
213.07,256.83,0.0
213.07,265.81,0.0
213.07,274.79,0.0
213.07,283.76,0.0
213.07,292.74,0.0
213.07,301.71,0.0
213.07,310.69,0.0
213.07,319.67,0.0
213.07,328.64,0.0
213.07,337.62,0.0
213.07,346.6,0.0
213.07,355.57,0.0
213.07,364.55,0.0
213.07,373.53,0.0
213.07,382.5,0.0
213.07,391.48,0.0
213.07,400.46,0.0
213.07,409.43,0.0
213.07,418.41,0.0
213.07,427.39,0.0
213.07,436.36,0.0
213.07,445.34,0.0
213.07,454.32,0.0
213.07,463.29,0.0
213.07,472.27,0.0
213.07,481.25,0.0
213.07,490.22,0.0
213.07,499.2,0.0
213.07,508.18,0.0
213.07,517.15,0.0
213.07,526.13,0.0
213.07,535.11,0.0
213.07,544.08,0.0
213.07,553.06,0.0
213.07,562.04,0.0
213.07,571.01,0.0
213.07,579.99,0.0
213.07,588.96,0.0
213.07,597.94,0.0
213.07,606.92,0.0
213.07,615.89,0.0
213.07,624.87,0.0
213.07,633.85,0.0
213.07,642.82,0.0
213.07,651.8,0.0
213.07,660.78,0.0
213.07,669.75,0.0
213.07,678.73,0.0
213.07,687.71,0.0
213.07,696.68,0.0
213.07,705.66,0.0
213.07,714.64,0.0
213.07,723.61,0.0
213.07,732.59,0.0
213.07,741.57,0.0
213.07,750.54,0.0
213.07,759.52,0.0
213.07,768.5,0.0
213.07,777.47,0.0
213.07,786.45,0.0
213.07,795.43,0.0
213.07,804.4,0.0
213.07,813.38,0.0
213.07,822.36,0.0
213.07,831.33,0.0
213.07,840.31,0.0
213.07,849.29,0.0
213.07,858.26,0.0
213.07,867.24,0.0
213.07,876.21,0.0
213.07,885.19,0.0
213.07,894.17,0.0
213.07,903.14,0.0
213.07,912.12,0.0
213.07,921.1,0.0
213.07,930.07,0.0
213.07,939.05,0.0
213.07,948.03,0.0
213.07,957.0,0.0
213.07,965.98,0.0
213.07,974.96,0.0
213.07,983.93,0.0
213.07,992.91,0.0
213.07,1001.9,0.0
213.07,1010.9,0.0
213.07,1019.8,0.0
213.07,1028.8,0.0
213.07,1037.8,0.0
213.07,1046.8,0.0
213.07,1055.7,0.0
213.07,1064.7,0.0
213.07,1073.7,0.0
213.07,1082.7,0.0
213.07,1091.7,0.0
213.07,1100.6,0.0
213.07,1109.6,0.0
213.07,1118.6,0.0
213.07,1127.6,0.0
213.07,1136.5,0.0
213.07,1145.5,0.0
227.08,5.4883,-1.1
227.08,14.465,-0.78011
227.08,23.441,-0.4602
227.08,32.418,-0.18341
227.08,41.395,-0.34719
227.08,50.371,-0.49645
227.08,59.348,-0.3091
227.08,68.324,-0.12175
227.08,77.301,-0.39819
227.08,86.277,-0.54649
227.08,95.254,-0.6948
227.08,104.23,-0.80853
227.08,113.21,-0.82391
227.08,122.18,-0.83929
227.08,131.16,-0.88006
227.08,140.14,-0.83711
227.08,149.11,0.0
227.08,158.09,0.0
227.08,167.07,0.0
227.08,176.04,0.0
227.08,185.02,0.0
227.08,194.0,0.0
227.08,202.97,0.0
227.08,211.95,0.0
227.08,220.93,0.0
227.08,229.9,0.0
227.08,238.88,0.0
227.08,247.86,0.0
227.08,256.83,0.0
227.08,265.81,0.0
227.08,274.79,0.0
227.08,283.76,0.0
227.08,292.74,0.0
227.08,301.71,0.0
227.08,310.69,0.0
227.08,319.67,0.0
227.08,328.64,0.0
227.08,337.62,0.0
227.08,346.6,0.0
227.08,355.57,0.0
227.08,364.55,0.0
227.08,373.53,0.0
227.08,382.5,0.0
227.08,391.48,0.0
227.08,400.46,0.0
227.08,409.43,0.0
227.08,418.41,0.0
227.08,427.39,0.0
227.08,436.36,0.0
227.08,445.34,0.0
227.08,454.32,0.0
227.08,463.29,0.0
227.08,472.27,0.0
227.08,481.25,0.0
227.08,490.22,0.0
227.08,499.2,0.0
227.08,508.18,0.0
227.08,517.15,0.0
227.08,526.13,0.0
227.08,535.11,0.0
227.08,544.08,0.0
227.08,553.06,0.0
227.08,562.04,0.0
227.08,571.01,0.0
227.08,579.99,0.0
227.08,588.96,0.0
227.08,597.94,0.0
227.08,606.92,0.0
227.08,615.89,0.0
227.08,624.87,0.0
227.08,633.85,0.0
227.08,642.82,0.0
227.08,651.8,0.0
227.08,660.78,0.0
227.08,669.75,0.0
227.08,678.73,0.0
227.08,687.71,0.0
227.08,696.68,0.0
227.08,705.66,0.0
227.08,714.64,0.0
227.08,723.61,0.0
227.08,732.59,0.0
227.08,741.57,0.0
227.08,750.54,0.0
227.08,759.52,0.0
227.08,768.5,0.0
227.08,777.47,0.0
227.08,786.45,0.0
227.08,795.43,0.0
227.08,804.4,0.0
227.08,813.38,0.0
227.08,822.36,0.0
227.08,831.33,0.0
227.08,840.31,0.0
227.08,849.29,0.0
227.08,858.26,0.0
227.08,867.24,0.0
227.08,876.21,0.0
227.08,885.19,0.0
227.08,894.17,0.0
227.08,903.14,0.0
227.08,912.12,0.0
227.08,921.1,0.0
227.08,930.07,0.0
227.08,939.05,0.0
227.08,948.03,0.0
227.08,957.0,0.0
227.08,965.98,0.0
227.08,974.96,0.0
227.08,983.93,0.0
227.08,992.91,0.0
227.08,1001.9,0.0
227.08,1010.9,0.0
227.08,1019.8,0.0
227.08,1028.8,0.0
227.08,1037.8,0.0
227.08,1046.8,0.0
227.08,1055.7,0.0
227.08,1064.7,0.0
227.08,1073.7,0.0
227.08,1082.7,0.0
227.08,1091.7,0.0
227.08,1100.6,0.0
227.08,1109.6,0.0
227.08,1118.6,0.0
227.08,1127.6,0.0
227.08,1136.5,0.0
227.08,1145.5,0.0
241.1,5.4883,0.11561
241.1,14.465,-0.013953
241.1,23.441,0.20633
241.1,32.418,0.53283
241.1,41.395,0.74575
241.1,50.371,0.75237
241.1,59.348,0.55136
241.1,68.324,0.35036
241.1,77.301,0.11697
241.1,86.277,-0.11358
241.1,95.254,-0.34412
241.1,104.23,-0.47327
241.1,113.21,-0.61055
241.1,122.18,-0.88008
241.1,131.16,-0.95119
241.1,140.14,-0.97379
241.1,149.11,-0.89643
241.1,158.09,0.0
241.1,167.07,0.0
241.1,176.04,0.0
241.1,185.02,0.0
241.1,194.0,0.0
241.1,202.97,0.0
241.1,211.95,0.0
241.1,220.93,0.0
241.1,229.9,0.0
241.1,238.88,0.0
241.1,247.86,0.0
241.1,256.83,0.0
241.1,265.81,0.0
241.1,274.79,0.0
241.1,283.76,0.0
241.1,292.74,0.0
241.1,301.71,0.0
241.1,310.69,0.0
241.1,319.67,0.0
241.1,328.64,0.0
241.1,337.62,0.0
241.1,346.6,0.0
241.1,355.57,0.0
241.1,364.55,0.0
241.1,373.53,0.0
241.1,382.5,0.0
241.1,391.48,0.0
241.1,400.46,0.0
241.1,409.43,0.0
241.1,418.41,0.0
241.1,427.39,0.0
241.1,436.36,0.0
241.1,445.34,0.0
241.1,454.32,0.0
241.1,463.29,0.0
241.1,472.27,0.0
241.1,481.25,0.0
241.1,490.22,0.0
241.1,499.2,0.0
241.1,508.18,0.0
241.1,517.15,0.0
241.1,526.13,0.0
241.1,535.11,0.0
241.1,544.08,0.0
241.1,553.06,0.0
241.1,562.04,0.0
241.1,571.01,0.0
241.1,579.99,0.0
241.1,588.96,0.0
241.1,597.94,0.0
241.1,606.92,0.0
241.1,615.89,0.0
241.1,624.87,0.0
241.1,633.85,0.0
241.1,642.82,0.0
241.1,651.8,0.0
241.1,660.78,0.0
241.1,669.75,0.0
241.1,678.73,0.0
241.1,687.71,0.0
241.1,696.68,0.0
241.1,705.66,0.0
241.1,714.64,0.0
241.1,723.61,0.0
241.1,732.59,0.0
241.1,741.57,0.0
241.1,750.54,0.0
241.1,759.52,0.0
241.1,768.5,0.0
241.1,777.47,0.0
241.1,786.45,0.0
241.1,795.43,0.0
241.1,804.4,0.0
241.1,813.38,0.0
241.1,822.36,0.0
241.1,831.33,0.0
241.1,840.31,0.0
241.1,849.29,0.0
241.1,858.26,0.0
241.1,867.24,0.0
241.1,876.21,0.0
241.1,885.19,0.0
241.1,894.17,0.0
241.1,903.14,0.0
241.1,912.12,0.0
241.1,921.1,0.0
241.1,930.07,0.0
241.1,939.05,0.0
241.1,948.03,0.0
241.1,957.0,0.0
241.1,965.98,0.0
241.1,974.96,0.0
241.1,983.93,0.0
241.1,992.91,0.0
241.1,1001.9,0.0
241.1,1010.9,0.0
241.1,1019.8,0.0
241.1,1028.8,0.0
241.1,1037.8,0.0
241.1,1046.8,0.0
241.1,1055.7,0.0
241.1,1064.7,0.0
241.1,1073.7,0.0
241.1,1082.7,0.0
241.1,1091.7,0.0
241.1,1100.6,0.0
241.1,1109.6,0.0
241.1,1118.6,0.0
241.1,1127.6,0.0
241.1,1136.5,0.0
241.1,1145.5,0.0
255.11,5.4883,0.78874
255.11,14.465,0.65918
255.11,23.441,0.58312
255.11,32.418,0.59839
255.11,41.395,0.61396
255.11,50.371,0.7028
255.11,59.348,0.7747
255.11,68.324,0.77777
255.11,77.301,0.594
255.11,86.277,0.39498
255.11,95.254,0.08218
255.11,104.23,-0.21023
255.11,113.21,-0.47976
255.11,122.18,-0.82301
255.11,131.16,-1.0349
255.11,140.14,-1.0575
255.11,149.11,-1.0801
255.11,158.09,-0.8639
255.11,167.07,-0.72447
255.11,176.04,0.0
255.11,185.02,0.0
255.11,194.0,0.0
255.11,202.97,0.0
255.11,211.95,0.0
255.11,220.93,0.0
255.11,229.9,0.0
255.11,238.88,0.0
255.11,247.86,0.0
255.11,256.83,0.0
255.11,265.81,0.0
255.11,274.79,0.0
255.11,283.76,0.0
255.11,292.74,0.0
255.11,301.71,0.0
255.11,310.69,0.0
255.11,319.67,0.0
255.11,328.64,0.0
255.11,337.62,0.0
255.11,346.6,0.0
255.11,355.57,0.0
255.11,364.55,0.0
255.11,373.53,0.0
255.11,382.5,0.0
255.11,391.48,0.0
255.11,400.46,0.0
255.11,409.43,0.0
255.11,418.41,0.0
255.11,427.39,0.0
255.11,436.36,0.0
255.11,445.34,0.0
255.11,454.32,0.0
255.11,463.29,0.0
255.11,472.27,0.0
255.11,481.25,0.0
255.11,490.22,0.0
255.11,499.2,0.0
255.11,508.18,0.0
255.11,517.15,0.0
255.11,526.13,0.0
255.11,535.11,0.0
255.11,544.08,0.0
255.11,553.06,0.0
255.11,562.04,0.0
255.11,571.01,0.0
255.11,579.99,0.0
255.11,588.96,0.0
255.11,597.94,0.0
255.11,606.92,0.0
255.11,615.89,0.0
255.11,624.87,0.0
255.11,633.85,0.0
255.11,642.82,0.0
255.11,651.8,0.0
255.11,660.78,0.0
255.11,669.75,0.0
255.11,678.73,0.0
255.11,687.71,0.0
255.11,696.68,0.0
255.11,705.66,0.0
255.11,714.64,0.0
255.11,723.61,0.0
255.11,732.59,0.0
255.11,741.57,0.0
255.11,750.54,0.0
255.11,759.52,0.0
255.11,768.5,0.0
255.11,777.47,0.0
255.11,786.45,0.0
255.11,795.43,0.0
255.11,804.4,0.0
255.11,813.38,0.0
255.11,822.36,0.0
255.11,831.33,0.0
255.11,840.31,0.0
255.11,849.29,0.0
255.11,858.26,0.0
255.11,867.24,0.0
255.11,876.21,0.0
255.11,885.19,0.0
255.11,894.17,0.0
255.11,903.14,0.0
255.11,912.12,0.0
255.11,921.1,0.0
255.11,930.07,0.0
255.11,939.05,0.0
255.11,948.03,0.0
255.11,957.0,0.0
255.11,965.98,0.0
255.11,974.96,0.0
255.11,983.93,0.0
255.11,992.91,0.0
255.11,1001.9,0.0
255.11,1010.9,0.0
255.11,1019.8,0.0
255.11,1028.8,0.0
255.11,1037.8,0.0
255.11,1046.8,0.0
255.11,1055.7,0.0
255.11,1064.7,0.0
255.11,1073.7,0.0
255.11,1082.7,0.0
255.11,1091.7,0.0
255.11,1100.6,0.0
255.11,1109.6,0.0
255.11,1118.6,0.0
255.11,1127.6,0.0
255.11,1136.5,0.0
255.11,1145.5,0.0
269.13,5.4883,0.30065
269.13,14.465,0.2961
269.13,23.441,0.30989
269.13,32.418,0.34661
269.13,41.395,0.48672
269.13,50.371,0.62401
269.13,59.348,0.70529
269.13,68.324,0.89515
269.13,77.301,0.97235
269.13,86.277,0.72261
269.13,95.254,0.51616
269.13,104.23,0.19772
269.13,113.21,-0.27021
269.13,122.18,-0.68042
269.13,131.16,-0.90619
269.13,140.14,-1.0476
269.13,149.11,-1.1231
269.13,158.09,-0.99259
269.13,167.07,-0.90299
269.13,176.04,-0.78581
269.13,185.02,0.0
269.13,194.0,0.0
269.13,202.97,0.0
269.13,211.95,0.0
269.13,220.93,0.0
269.13,229.9,0.0
269.13,238.88,0.0
269.13,247.86,0.0
269.13,256.83,0.0
269.13,265.81,0.0
269.13,274.79,0.0
269.13,283.76,0.0
269.13,292.74,0.0
269.13,301.71,0.0
269.13,310.69,0.0
269.13,319.67,0.0
269.13,328.64,0.0
269.13,337.62,0.0
269.13,346.6,0.0
269.13,355.57,0.0
269.13,364.55,0.0
269.13,373.53,0.0
269.13,382.5,0.0
269.13,391.48,0.0
269.13,400.46,0.0
269.13,409.43,0.0
269.13,418.41,0.0
269.13,427.39,0.0
269.13,436.36,0.0
269.13,445.34,0.0
269.13,454.32,0.0
269.13,463.29,0.0
269.13,472.27,0.0
269.13,481.25,0.0
269.13,490.22,0.0
269.13,499.2,0.0
269.13,508.18,0.0
269.13,517.15,0.0
269.13,526.13,0.0
269.13,535.11,0.0
269.13,544.08,0.0
269.13,553.06,0.0
269.13,562.04,0.0
269.13,571.01,0.0
269.13,579.99,0.0
269.13,588.96,0.0
269.13,597.94,0.0
269.13,606.92,0.0
269.13,615.89,0.0
269.13,624.87,0.0
269.13,633.85,0.0
269.13,642.82,0.0
269.13,651.8,0.0
269.13,660.78,0.0
269.13,669.75,0.0
269.13,678.73,0.0
