#: table_doi: 10.17182/hepdata.90835.v1/t79
#: name: T2qq significance
#: description: The observed significance of the SMS models for T2qq as function of the LSP and light squark masses. 
#: data_file: t2qq_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Significance,
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
331.25,1246.5,0.0
331.25,1263.7,0.0
331.25,1280.9,0.0
331.25,1298.1,0.0
331.25,1315.2,0.0
331.25,1332.4,0.0
331.25,1349.6,0.0
331.25,1366.8,0.0
331.25,1384.0,0.0
331.25,1401.1,0.0
331.25,1418.3,0.0
331.25,1435.5,0.0
331.25,1452.7,0.0
331.25,1469.9,0.0
331.25,1487.0,0.0
331.25,1504.2,0.0
331.25,1521.4,0.0
331.25,1538.6,0.0
331.25,1555.8,0.0
331.25,1572.9,0.0
331.25,1590.1,0.0
331.25,1607.3,0.0
331.25,1624.5,0.0
331.25,1641.7,0.0
331.25,1658.8,0.0
331.25,1676.0,0.0
331.25,1693.2,0.0
331.25,1710.4,0.0
331.25,1727.6,0.0
331.25,1744.7,0.0
331.25,1761.9,0.0
331.25,1779.1,0.0
331.25,1796.3,0.0
331.25,1813.5,0.0
331.25,1830.6,0.0
331.25,1847.8,0.0
331.25,1865.0,0.0
331.25,1882.2,0.0
331.25,1899.4,0.0
331.25,1916.5,0.0
331.25,1933.7,0.0
331.25,1950.9,0.0
331.25,1968.1,0.0
331.25,1985.3,0.0
331.25,2002.4,0.0
331.25,2019.6,0.0
331.25,2036.8,0.0
331.25,2054.0,0.0
331.25,2071.2,0.0
331.25,2088.3,0.0
331.25,2105.5,0.0
331.25,2122.7,0.0
331.25,2139.9,0.0
331.25,2157.1,0.0
331.25,2174.2,0.0
331.25,2191.4,0.0
343.75,9.5898,-0.084311
343.75,26.77,-0.067959
343.75,43.949,-0.051606
343.75,61.129,-0.035254
343.75,78.309,-0.018902
343.75,95.488,-0.021437
343.75,112.67,-0.01016
343.75,129.85,-0.036714
343.75,147.03,-0.063268
343.75,164.21,-0.089822
343.75,181.39,-0.11638
343.75,198.57,-0.14293
343.75,215.75,-0.083447
343.75,232.93,-0.016133
343.75,250.11,0.0063341
343.75,267.29,-0.059232
343.75,284.46,-0.12268
343.75,301.64,-0.21321
343.75,318.82,-0.37215
343.75,336.0,0.0
343.75,353.18,0.0
343.75,370.36,0.0
343.75,387.54,0.0
343.75,404.72,0.0
343.75,421.9,0.0
343.75,439.08,0.0
343.75,456.26,0.0
343.75,473.44,0.0
343.75,490.62,0.0
343.75,507.8,0.0
343.75,524.98,0.0
343.75,542.16,0.0
343.75,559.34,0.0
343.75,576.52,0.0
343.75,593.7,0.0
343.75,610.88,0.0
343.75,628.06,0.0
343.75,645.24,0.0
343.75,662.42,0.0
343.75,679.6,0.0
343.75,696.78,0.0
343.75,713.96,0.0
343.75,731.14,0.0
343.75,748.32,0.0
343.75,765.5,0.0
343.75,782.68,0.0
343.75,799.86,0.0
343.75,817.04,0.0
343.75,834.21,0.0
343.75,851.39,0.0
343.75,868.57,0.0
343.75,885.75,0.0
343.75,902.93,0.0
343.75,920.11,0.0
343.75,937.29,0.0
343.75,954.47,0.0
343.75,971.65,0.0
343.75,988.83,0.0
343.75,1006.0,0.0
343.75,1023.2,0.0
343.75,1040.4,0.0
343.75,1057.6,0.0
343.75,1074.7,0.0
343.75,1091.9,0.0
343.75,1109.1,0.0
343.75,1126.3,0.0
343.75,1143.4,0.0
343.75,1160.6,0.0
343.75,1177.8,0.0
343.75,1195.0,0.0
343.75,1212.2,0.0
343.75,1229.3,0.0
343.75,1246.5,0.0
343.75,1263.7,0.0
343.75,1280.9,0.0
343.75,1298.1,0.0
343.75,1315.2,0.0
343.75,1332.4,0.0
343.75,1349.6,0.0
343.75,1366.8,0.0
343.75,1384.0,0.0
343.75,1401.1,0.0
343.75,1418.3,0.0
343.75,1435.5,0.0
343.75,1452.7,0.0
343.75,1469.9,0.0
343.75,1487.0,0.0
343.75,1504.2,0.0
343.75,1521.4,0.0
343.75,1538.6,0.0
343.75,1555.8,0.0
343.75,1572.9,0.0
343.75,1590.1,0.0
343.75,1607.3,0.0
343.75,1624.5,0.0
343.75,1641.7,0.0
343.75,1658.8,0.0
343.75,1676.0,0.0
343.75,1693.2,0.0
343.75,1710.4,0.0
343.75,1727.6,0.0
343.75,1744.7,0.0
343.75,1761.9,0.0
343.75,1779.1,0.0
343.75,1796.3,0.0
343.75,1813.5,0.0
343.75,1830.6,0.0
343.75,1847.8,0.0
343.75,1865.0,0.0
343.75,1882.2,0.0
343.75,1899.4,0.0
343.75,1916.5,0.0
343.75,1933.7,0.0
343.75,1950.9,0.0
343.75,1968.1,0.0
343.75,1985.3,0.0
343.75,2002.4,0.0
343.75,2019.6,0.0
343.75,2036.8,0.0
343.75,2054.0,0.0
343.75,2071.2,0.0
343.75,2088.3,0.0
343.75,2105.5,0.0
343.75,2122.7,0.0
343.75,2139.9,0.0
343.75,2157.1,0.0
343.75,2174.2,0.0
343.75,2191.4,0.0
356.25,9.5898,-0.16031
356.25,26.77,-0.14396
356.25,43.949,-0.12761
356.25,61.129,-0.11126
356.25,78.309,-0.094904
356.25,95.488,-0.049151
356.25,112.67,-0.047568
356.25,129.85,-0.074121
356.25,147.03,-0.10068
356.25,164.21,-0.12723
356.25,181.39,-0.15378
356.25,198.57,-0.11441
356.25,215.75,-0.04639
356.25,232.93,0.020925
356.25,250.11,0.046683
356.25,267.29,-0.016768
356.25,284.46,-0.080219
356.25,301.64,-0.13489
356.25,318.82,-0.29586
356.25,336.0,0.0
356.25,353.18,0.0
356.25,370.36,0.0
356.25,387.54,0.0
356.25,404.72,0.0
356.25,421.9,0.0
356.25,439.08,0.0
356.25,456.26,0.0
356.25,473.44,0.0
356.25,490.62,0.0
356.25,507.8,0.0
356.25,524.98,0.0
356.25,542.16,0.0
356.25,559.34,0.0
356.25,576.52,0.0
356.25,593.7,0.0
356.25,610.88,0.0
356.25,628.06,0.0
356.25,645.24,0.0
356.25,662.42,0.0
356.25,679.6,0.0
356.25,696.78,0.0
356.25,713.96,0.0
356.25,731.14,0.0
356.25,748.32,0.0
356.25,765.5,0.0
356.25,782.68,0.0
356.25,799.86,0.0
356.25,817.04,0.0
356.25,834.21,0.0
356.25,851.39,0.0
356.25,868.57,0.0
356.25,885.75,0.0
356.25,902.93,0.0
356.25,920.11,0.0
356.25,937.29,0.0
356.25,954.47,0.0
356.25,971.65,0.0
356.25,988.83,0.0
356.25,1006.0,0.0
356.25,1023.2,0.0
356.25,1040.4,0.0
356.25,1057.6,0.0
356.25,1074.7,0.0
356.25,1091.9,0.0
356.25,1109.1,0.0
356.25,1126.3,0.0
356.25,1143.4,0.0
356.25,1160.6,0.0
356.25,1177.8,0.0
356.25,1195.0,0.0
356.25,1212.2,0.0
356.25,1229.3,0.0
356.25,1246.5,0.0
356.25,1263.7,0.0
356.25,1280.9,0.0
356.25,1298.1,0.0
356.25,1315.2,0.0
356.25,1332.4,0.0
356.25,1349.6,0.0
356.25,1366.8,0.0
356.25,1384.0,0.0
356.25,1401.1,0.0
356.25,1418.3,0.0
356.25,1435.5,0.0
356.25,1452.7,0.0
356.25,1469.9,0.0
356.25,1487.0,0.0
356.25,1504.2,0.0
356.25,1521.4,0.0
356.25,1538.6,0.0
356.25,1555.8,0.0
356.25,1572.9,0.0
356.25,1590.1,0.0
356.25,1607.3,0.0
356.25,1624.5,0.0
356.25,1641.7,0.0
356.25,1658.8,0.0
356.25,1676.0,0.0
356.25,1693.2,0.0
356.25,1710.4,0.0
356.25,1727.6,0.0
356.25,1744.7,0.0
356.25,1761.9,0.0
356.25,1779.1,0.0
356.25,1796.3,0.0
356.25,1813.5,0.0
356.25,1830.6,0.0
356.25,1847.8,0.0
356.25,1865.0,0.0
356.25,1882.2,0.0
356.25,1899.4,0.0
356.25,1916.5,0.0
356.25,1933.7,0.0
356.25,1950.9,0.0
356.25,1968.1,0.0
356.25,1985.3,0.0
356.25,2002.4,0.0
356.25,2019.6,0.0
356.25,2036.8,0.0
356.25,2054.0,0.0
356.25,2071.2,0.0
356.25,2088.3,0.0
356.25,2105.5,0.0
356.25,2122.7,0.0
356.25,2139.9,0.0
356.25,2157.1,0.0
356.25,2174.2,0.0
356.25,2191.4,0.0
368.75,9.5898,-0.31513
368.75,26.77,-0.29878
368.75,43.949,-0.28243
368.75,61.129,-0.26608
368.75,78.309,-0.19202
368.75,95.488,-0.11143
368.75,112.67,-0.10985
368.75,129.85,-0.1364
368.75,147.03,-0.16296
368.75,164.21,-0.17934
368.75,181.39,-0.10355
368.75,198.57,-0.027763
368.75,215.75,0.040259
368.75,232.93,0.096647
368.75,250.11,0.051826
368.75,267.29,-0.011625
368.75,284.46,-0.06576
368.75,301.64,-0.093525
368.75,318.82,-0.21621
368.75,336.0,-0.24681
368.75,353.18,0.0
368.75,370.36,0.0
368.75,387.54,0.0
368.75,404.72,0.0
368.75,421.9,0.0
368.75,439.08,0.0
368.75,456.26,0.0
368.75,473.44,0.0
368.75,490.62,0.0
368.75,507.8,0.0
368.75,524.98,0.0
368.75,542.16,0.0
368.75,559.34,0.0
368.75,576.52,0.0
368.75,593.7,0.0
368.75,610.88,0.0
368.75,628.06,0.0
368.75,645.24,0.0
368.75,662.42,0.0
368.75,679.6,0.0
368.75,696.78,0.0
368.75,713.96,0.0
368.75,731.14,0.0
368.75,748.32,0.0
368.75,765.5,0.0
368.75,782.68,0.0
368.75,799.86,0.0
368.75,817.04,0.0
368.75,834.21,0.0
368.75,851.39,0.0
368.75,868.57,0.0
368.75,885.75,0.0
368.75,902.93,0.0
368.75,920.11,0.0
368.75,937.29,0.0
368.75,954.47,0.0
368.75,971.65,0.0
368.75,988.83,0.0
368.75,1006.0,0.0
368.75,1023.2,0.0
368.75,1040.4,0.0
368.75,1057.6,0.0
368.75,1074.7,0.0
368.75,1091.9,0.0
368.75,1109.1,0.0
368.75,1126.3,0.0
368.75,1143.4,0.0
368.75,1160.6,0.0
368.75,1177.8,0.0
368.75,1195.0,0.0
368.75,1212.2,0.0
368.75,1229.3,0.0
368.75,1246.5,0.0
368.75,1263.7,0.0
368.75,1280.9,0.0
368.75,1298.1,0.0
368.75,1315.2,0.0
368.75,1332.4,0.0
368.75,1349.6,0.0
368.75,1366.8,0.0
368.75,1384.0,0.0
368.75,1401.1,0.0
368.75,1418.3,0.0
368.75,1435.5,0.0
368.75,1452.7,0.0
368.75,1469.9,0.0
368.75,1487.0,0.0
368.75,1504.2,0.0
368.75,1521.4,0.0
368.75,1538.6,0.0
368.75,1555.8,0.0
368.75,1572.9,0.0
368.75,1590.1,0.0
368.75,1607.3,0.0
368.75,1624.5,0.0
368.75,1641.7,0.0
368.75,1658.8,0.0
368.75,1676.0,0.0
368.75,1693.2,0.0
368.75,1710.4,0.0
368.75,1727.6,0.0
368.75,1744.7,0.0
368.75,1761.9,0.0
368.75,1779.1,0.0
368.75,1796.3,0.0
368.75,1813.5,0.0
368.75,1830.6,0.0
368.75,1847.8,0.0
368.75,1865.0,0.0
368.75,1882.2,0.0
368.75,1899.4,0.0
368.75,1916.5,0.0
368.75,1933.7,0.0
368.75,1950.9,0.0
368.75,1968.1,0.0
368.75,1985.3,0.0
368.75,2002.4,0.0
368.75,2019.6,0.0
368.75,2036.8,0.0
368.75,2054.0,0.0
368.75,2071.2,0.0
368.75,2088.3,0.0
368.75,2105.5,0.0
368.75,2122.7,0.0
368.75,2139.9,0.0
368.75,2157.1,0.0
368.75,2174.2,0.0
368.75,2191.4,0.0
381.25,9.5898,-0.46995
381.25,26.77,-0.4536
381.25,43.949,-0.41547
381.25,61.129,-0.33489
381.25,78.309,-0.2543
381.25,95.488,-0.17371
381.25,112.67,-0.17213
381.25,129.85,-0.19868
381.25,147.03,-0.16848
381.25,164.21,-0.092691
381.25,181.39,-0.016903
381.25,198.57,0.058886
381.25,215.75,0.12691
381.25,232.93,0.10179
381.25,250.11,0.056968
381.25,267.29,-0.0064829
381.25,284.46,-0.024392
381.25,301.64,-0.052157
381.25,318.82,-0.10007
381.25,336.0,-0.055479
381.25,353.18,-0.59057
381.25,370.36,0.0
381.25,387.54,0.0
381.25,404.72,0.0
381.25,421.9,0.0
381.25,439.08,0.0
381.25,456.26,0.0
381.25,473.44,0.0
381.25,490.62,0.0
381.25,507.8,0.0
381.25,524.98,0.0
381.25,542.16,0.0
381.25,559.34,0.0
381.25,576.52,0.0
381.25,593.7,0.0
381.25,610.88,0.0
381.25,628.06,0.0
381.25,645.24,0.0
381.25,662.42,0.0
381.25,679.6,0.0
381.25,696.78,0.0
381.25,713.96,0.0
381.25,731.14,0.0
381.25,748.32,0.0
381.25,765.5,0.0
381.25,782.68,0.0
381.25,799.86,0.0
381.25,817.04,0.0
381.25,834.21,0.0
381.25,851.39,0.0
381.25,868.57,0.0
381.25,885.75,0.0
381.25,902.93,0.0
381.25,920.11,0.0
381.25,937.29,0.0
381.25,954.47,0.0
381.25,971.65,0.0
381.25,988.83,0.0
381.25,1006.0,0.0
381.25,1023.2,0.0
381.25,1040.4,0.0
381.25,1057.6,0.0
381.25,1074.7,0.0
381.25,1091.9,0.0
381.25,1109.1,0.0
381.25,1126.3,0.0
381.25,1143.4,0.0
381.25,1160.6,0.0
381.25,1177.8,0.0
381.25,1195.0,0.0
381.25,1212.2,0.0
381.25,1229.3,0.0
381.25,1246.5,0.0
381.25,1263.7,0.0
381.25,1280.9,0.0
381.25,1298.1,0.0
381.25,1315.2,0.0
381.25,1332.4,0.0
381.25,1349.6,0.0
381.25,1366.8,0.0
381.25,1384.0,0.0
381.25,1401.1,0.0
381.25,1418.3,0.0
381.25,1435.5,0.0
381.25,1452.7,0.0
381.25,1469.9,0.0
381.25,1487.0,0.0
381.25,1504.2,0.0
381.25,1521.4,0.0
381.25,1538.6,0.0
381.25,1555.8,0.0
381.25,1572.9,0.0
381.25,1590.1,0.0
381.25,1607.3,0.0
381.25,1624.5,0.0
381.25,1641.7,0.0
381.25,1658.8,0.0
381.25,1676.0,0.0
381.25,1693.2,0.0
381.25,1710.4,0.0
381.25,1727.6,0.0
381.25,1744.7,0.0
381.25,1761.9,0.0
381.25,1779.1,0.0
381.25,1796.3,0.0
381.25,1813.5,0.0
381.25,1830.6,0.0
381.25,1847.8,0.0
381.25,1865.0,0.0
381.25,1882.2,0.0
381.25,1899.4,0.0
381.25,1916.5,0.0
381.25,1933.7,0.0
381.25,1950.9,0.0
381.25,1968.1,0.0
381.25,1985.3,0.0
381.25,2002.4,0.0
381.25,2019.6,0.0
381.25,2036.8,0.0
381.25,2054.0,0.0
381.25,2071.2,0.0
381.25,2088.3,0.0
381.25,2105.5,0.0
381.25,2122.7,0.0
381.25,2139.9,0.0
381.25,2157.1,0.0
381.25,2174.2,0.0
381.25,2191.4,0.0
393.75,9.5898,-0.62477
393.75,26.77,-0.55834
393.75,43.949,-0.47775
393.75,61.129,-0.39717
393.75,78.309,-0.31658
393.75,95.488,-0.23599
393.75,112.67,-0.23341
393.75,129.85,-0.15762
393.75,147.03,-0.081831
393.75,164.21,-0.0060425
393.75,181.39,0.069746
393.75,198.57,0.14553
393.75,215.75,0.15164
393.75,232.93,0.10693
393.75,250.11,0.062111
393.75,267.29,0.03064
393.75,284.46,0.016976
393.75,301.64,-0.010789
393.75,318.82,0.016083
393.75,336.0,0.06067
393.75,353.18,-0.18593
393.75,370.36,0.0
393.75,387.54,0.0
393.75,404.72,0.0
393.75,421.9,0.0
393.75,439.08,0.0
393.75,456.26,0.0
393.75,473.44,0.0
393.75,490.62,0.0
393.75,507.8,0.0
393.75,524.98,0.0
393.75,542.16,0.0
393.75,559.34,0.0
393.75,576.52,0.0
393.75,593.7,0.0
393.75,610.88,0.0
393.75,628.06,0.0
393.75,645.24,0.0
393.75,662.42,0.0
393.75,679.6,0.0
393.75,696.78,0.0
393.75,713.96,0.0
393.75,731.14,0.0
393.75,748.32,0.0
393.75,765.5,0.0
393.75,782.68,0.0
393.75,799.86,0.0
393.75,817.04,0.0
393.75,834.21,0.0
393.75,851.39,0.0
393.75,868.57,0.0
393.75,885.75,0.0
393.75,902.93,0.0
393.75,920.11,0.0
393.75,937.29,0.0
393.75,954.47,0.0
393.75,971.65,0.0
393.75,988.83,0.0
393.75,1006.0,0.0
393.75,1023.2,0.0
393.75,1040.4,0.0
393.75,1057.6,0.0
393.75,1074.7,0.0
393.75,1091.9,0.0
393.75,1109.1,0.0
393.75,1126.3,0.0
393.75,1143.4,0.0
393.75,1160.6,0.0
393.75,1177.8,0.0
393.75,1195.0,0.0
393.75,1212.2,0.0
393.75,1229.3,0.0
393.75,1246.5,0.0
393.75,1263.7,0.0
393.75,1280.9,0.0
393.75,1298.1,0.0
393.75,1315.2,0.0
393.75,1332.4,0.0
393.75,1349.6,0.0
393.75,1366.8,0.0
393.75,1384.0,0.0
393.75,1401.1,0.0
393.75,1418.3,0.0
393.75,1435.5,0.0
393.75,1452.7,0.0
393.75,1469.9,0.0
393.75,1487.0,0.0
393.75,1504.2,0.0
393.75,1521.4,0.0
393.75,1538.6,0.0
393.75,1555.8,0.0
393.75,1572.9,0.0
393.75,1590.1,0.0
393.75,1607.3,0.0
393.75,1624.5,0.0
393.75,1641.7,0.0
393.75,1658.8,0.0
393.75,1676.0,0.0
393.75,1693.2,0.0
393.75,1710.4,0.0
393.75,1727.6,0.0
393.75,1744.7,0.0
393.75,1761.9,0.0
393.75,1779.1,0.0
393.75,1796.3,0.0
393.75,1813.5,0.0
393.75,1830.6,0.0
393.75,1847.8,0.0
393.75,1865.0,0.0
393.75,1882.2,0.0
393.75,1899.4,0.0
393.75,1916.5,0.0
393.75,1933.7,0.0
393.75,1950.9,0.0
393.75,1968.1,0.0
393.75,1985.3,0.0
393.75,2002.4,0.0
393.75,2019.6,0.0
393.75,2036.8,0.0
393.75,2054.0,0.0
393.75,2071.2,0.0
393.75,2088.3,0.0
393.75,2105.5,0.0
393.75,2122.7,0.0
393.75,2139.9,0.0
393.75,2157.1,0.0
393.75,2174.2,0.0
393.75,2191.4,0.0
406.25,9.5898,-0.69713
406.25,26.77,-0.61654
406.25,43.949,-0.53596
406.25,61.129,-0.45537
406.25,78.309,-0.37478
406.25,95.488,-0.31404
406.25,112.67,-0.21861
406.25,129.85,-0.14282
406.25,147.03,-0.067028
406.25,164.21,0.0087603
406.25,181.39,0.084549
406.25,198.57,0.16034
406.25,215.75,0.12569
406.25,232.93,0.080981
406.25,250.11,0.087424
406.25,267.29,0.07376
406.25,284.46,0.060095
406.25,301.64,0.055971
406.25,318.82,0.07583
406.25,336.0,0.12042
406.25,353.18,0.018055
406.25,370.36,-0.73034
406.25,387.54,0.0
406.25,404.72,0.0
406.25,421.9,0.0
406.25,439.08,0.0
406.25,456.26,0.0
406.25,473.44,0.0
406.25,490.62,0.0
