#: table_doi: 10.17182/hepdata.90835.v1/t84
#: name: T2tt efficiency
#: description: The efficiency times acceptance of the SMS models for T2tt as function of the top squark and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t2tt_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: Efficiency,
M(STOP) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
156.09,615.0,0.0
156.09,622.18,0.0
156.09,629.36,0.0
156.09,636.54,0.0
156.09,643.72,0.0
156.09,650.9,0.0
156.09,658.08,0.0
156.09,665.27,0.0
156.09,672.45,0.0
156.09,679.63,0.0
156.09,686.81,0.0
156.09,693.99,0.0
156.09,701.17,0.0
156.09,708.35,0.0
156.09,715.53,0.0
156.09,722.72,0.0
156.09,729.9,0.0
156.09,737.08,0.0
156.09,744.26,0.0
156.09,751.44,0.0
156.09,758.62,0.0
156.09,765.8,0.0
156.09,772.98,0.0
156.09,780.17,0.0
156.09,787.35,0.0
156.09,794.53,0.0
156.09,801.71,0.0
156.09,808.89,0.0
156.09,816.07,0.0
156.09,823.25,0.0
156.09,830.43,0.0
156.09,837.62,0.0
156.09,844.8,0.0
156.09,851.98,0.0
156.09,859.16,0.0
156.09,866.34,0.0
156.09,873.52,0.0
156.09,880.7,0.0
156.09,887.88,0.0
156.09,895.07,0.0
156.09,902.25,0.0
156.09,909.43,0.0
156.09,916.61,0.0
156.09,923.79,0.0
156.09,930.97,0.0
156.09,938.15,0.0
156.09,945.33,0.0
156.09,952.52,0.0
156.09,959.7,0.0
156.09,966.88,0.0
156.09,974.06,0.0
156.09,981.24,0.0
156.09,988.42,0.0
156.09,995.6,0.0
156.09,1002.8,0.0
156.09,1010.0,0.0
156.09,1017.1,0.0
156.09,1024.3,0.0
156.09,1031.5,0.0
156.09,1038.7,0.0
156.09,1045.9,0.0
156.09,1053.1,0.0
156.09,1060.2,0.0
156.09,1067.4,0.0
156.09,1074.6,0.0
156.09,1081.8,0.0
156.09,1089.0,0.0
156.09,1096.1,0.0
156.09,1103.3,0.0
156.09,1110.5,0.0
156.09,1117.7,0.0
156.09,1124.9,0.0
156.09,1132.0,0.0
156.09,1139.2,0.0
156.09,1146.4,0.0
168.26,4.5906,0.00010093
168.26,11.772,0.00014179
168.26,18.953,0.00018064
168.26,26.134,0.00018727
168.26,33.316,0.0001952
168.26,40.497,0.00021483
168.26,47.678,0.00023446
168.26,54.859,0.00024607
168.26,62.041,0.00026391
168.26,69.222,0.00028174
168.26,76.403,0.00028604
168.26,83.584,0.0
168.26,90.766,0.0
168.26,97.947,0.0
168.26,105.13,0.0
168.26,112.31,0.0
168.26,119.49,0.0
168.26,126.67,0.0
168.26,133.85,0.0
168.26,141.03,0.0
168.26,148.22,0.0
168.26,155.4,0.0
168.26,162.58,0.0
168.26,169.76,0.0
168.26,176.94,0.0
168.26,184.12,0.0
168.26,191.3,0.0
168.26,198.48,0.0
168.26,205.67,0.0
168.26,212.85,0.0
168.26,220.03,0.0
168.26,227.21,0.0
168.26,234.39,0.0
168.26,241.57,0.0
168.26,248.75,0.0
168.26,255.93,0.0
168.26,263.12,0.0
168.26,270.3,0.0
168.26,277.48,0.0
168.26,284.66,0.0
168.26,291.84,0.0
168.26,299.02,0.0
168.26,306.2,0.0
168.26,313.38,0.0
168.26,320.57,0.0
168.26,327.75,0.0
168.26,334.93,0.0
168.26,342.11,0.0
168.26,349.29,0.0
168.26,356.47,0.0
168.26,363.65,0.0
168.26,370.83,0.0
168.26,378.02,0.0
168.26,385.2,0.0
168.26,392.38,0.0
168.26,399.56,0.0
168.26,406.74,0.0
168.26,413.92,0.0
168.26,421.1,0.0
168.26,428.28,0.0
168.26,435.47,0.0
168.26,442.65,0.0
168.26,449.83,0.0
168.26,457.01,0.0
168.26,464.19,0.0
168.26,471.37,0.0
168.26,478.55,0.0
168.26,485.73,0.0
168.26,492.92,0.0
168.26,500.1,0.0
168.26,507.28,0.0
168.26,514.46,0.0
168.26,521.64,0.0
168.26,528.82,0.0
168.26,536.0,0.0
168.26,543.18,0.0
168.26,550.37,0.0
168.26,557.55,0.0
168.26,564.73,0.0
168.26,571.91,0.0
168.26,579.09,0.0
168.26,586.27,0.0
168.26,593.45,0.0
168.26,600.63,0.0
168.26,607.82,0.0
168.26,615.0,0.0
168.26,622.18,0.0
168.26,629.36,0.0
168.26,636.54,0.0
168.26,643.72,0.0
168.26,650.9,0.0
168.26,658.08,0.0
168.26,665.27,0.0
168.26,672.45,0.0
168.26,679.63,0.0
168.26,686.81,0.0
168.26,693.99,0.0
168.26,701.17,0.0
168.26,708.35,0.0
168.26,715.53,0.0
168.26,722.72,0.0
168.26,729.9,0.0
168.26,737.08,0.0
168.26,744.26,0.0
168.26,751.44,0.0
168.26,758.62,0.0
168.26,765.8,0.0
168.26,772.98,0.0
168.26,780.17,0.0
168.26,787.35,0.0
168.26,794.53,0.0
168.26,801.71,0.0
168.26,808.89,0.0
168.26,816.07,0.0
168.26,823.25,0.0
168.26,830.43,0.0
168.26,837.62,0.0
168.26,844.8,0.0
168.26,851.98,0.0
168.26,859.16,0.0
168.26,866.34,0.0
168.26,873.52,0.0
168.26,880.7,0.0
168.26,887.88,0.0
168.26,895.07,0.0
168.26,902.25,0.0
168.26,909.43,0.0
168.26,916.61,0.0
168.26,923.79,0.0
168.26,930.97,0.0
168.26,938.15,0.0
168.26,945.33,0.0
168.26,952.52,0.0
168.26,959.7,0.0
168.26,966.88,0.0
168.26,974.06,0.0
168.26,981.24,0.0
168.26,988.42,0.0
168.26,995.6,0.0
168.26,1002.8,0.0
168.26,1010.0,0.0
168.26,1017.1,0.0
168.26,1024.3,0.0
168.26,1031.5,0.0
168.26,1038.7,0.0
168.26,1045.9,0.0
168.26,1053.1,0.0
168.26,1060.2,0.0
168.26,1067.4,0.0
168.26,1074.6,0.0
168.26,1081.8,0.0
168.26,1089.0,0.0
168.26,1096.1,0.0
168.26,1103.3,0.0
168.26,1110.5,0.0
168.26,1117.7,0.0
168.26,1124.9,0.0
168.26,1132.0,0.0
168.26,1139.2,0.0
168.26,1146.4,0.0
180.43,4.5906,9.7627e-05
180.43,11.772,0.00013848
180.43,18.953,0.00017934
180.43,26.134,0.00018232
180.43,33.316,0.00020195
180.43,40.497,0.00022159
180.43,47.678,0.00027747
180.43,54.859,0.00033936
180.43,62.041,0.00035911
180.43,69.222,0.00037695
180.43,76.403,0.00039069
180.43,83.584,0.00038757
180.43,90.766,0.00040767
180.43,97.947,0.0
180.43,105.13,0.0
180.43,112.31,0.0
180.43,119.49,0.0
180.43,126.67,0.0
180.43,133.85,0.0
180.43,141.03,0.0
180.43,148.22,0.0
180.43,155.4,0.0
180.43,162.58,0.0
180.43,169.76,0.0
180.43,176.94,0.0
180.43,184.12,0.0
180.43,191.3,0.0
180.43,198.48,0.0
180.43,205.67,0.0
180.43,212.85,0.0
180.43,220.03,0.0
180.43,227.21,0.0
180.43,234.39,0.0
180.43,241.57,0.0
180.43,248.75,0.0
180.43,255.93,0.0
180.43,263.12,0.0
180.43,270.3,0.0
180.43,277.48,0.0
180.43,284.66,0.0
180.43,291.84,0.0
180.43,299.02,0.0
180.43,306.2,0.0
180.43,313.38,0.0
180.43,320.57,0.0
180.43,327.75,0.0
180.43,334.93,0.0
180.43,342.11,0.0
180.43,349.29,0.0
180.43,356.47,0.0
180.43,363.65,0.0
180.43,370.83,0.0
180.43,378.02,0.0
180.43,385.2,0.0
180.43,392.38,0.0
180.43,399.56,0.0
180.43,406.74,0.0
180.43,413.92,0.0
180.43,421.1,0.0
180.43,428.28,0.0
180.43,435.47,0.0
180.43,442.65,0.0
180.43,449.83,0.0
180.43,457.01,0.0
180.43,464.19,0.0
180.43,471.37,0.0
180.43,478.55,0.0
180.43,485.73,0.0
180.43,492.92,0.0
180.43,500.1,0.0
180.43,507.28,0.0
180.43,514.46,0.0
180.43,521.64,0.0
180.43,528.82,0.0
180.43,536.0,0.0
180.43,543.18,0.0
180.43,550.37,0.0
180.43,557.55,0.0
180.43,564.73,0.0
180.43,571.91,0.0
180.43,579.09,0.0
180.43,586.27,0.0
180.43,593.45,0.0
180.43,600.63,0.0
180.43,607.82,0.0
180.43,615.0,0.0
180.43,622.18,0.0
180.43,629.36,0.0
180.43,636.54,0.0
180.43,643.72,0.0
180.43,650.9,0.0
180.43,658.08,0.0
180.43,665.27,0.0
180.43,672.45,0.0
180.43,679.63,0.0
180.43,686.81,0.0
180.43,693.99,0.0
180.43,701.17,0.0
180.43,708.35,0.0
180.43,715.53,0.0
180.43,722.72,0.0
180.43,729.9,0.0
180.43,737.08,0.0
180.43,744.26,0.0
180.43,751.44,0.0
180.43,758.62,0.0
180.43,765.8,0.0
180.43,772.98,0.0
180.43,780.17,0.0
180.43,787.35,0.0
180.43,794.53,0.0
180.43,801.71,0.0
180.43,808.89,0.0
180.43,816.07,0.0
180.43,823.25,0.0
180.43,830.43,0.0
180.43,837.62,0.0
180.43,844.8,0.0
180.43,851.98,0.0
180.43,859.16,0.0
180.43,866.34,0.0
180.43,873.52,0.0
180.43,880.7,0.0
180.43,887.88,0.0
180.43,895.07,0.0
180.43,902.25,0.0
180.43,909.43,0.0
180.43,916.61,0.0
180.43,923.79,0.0
180.43,930.97,0.0
180.43,938.15,0.0
180.43,945.33,0.0
180.43,952.52,0.0
180.43,959.7,0.0
180.43,966.88,0.0
180.43,974.06,0.0
180.43,981.24,0.0
180.43,988.42,0.0
180.43,995.6,0.0
180.43,1002.8,0.0
180.43,1010.0,0.0
180.43,1017.1,0.0
180.43,1024.3,0.0
180.43,1031.5,0.0
180.43,1038.7,0.0
180.43,1045.9,0.0
180.43,1053.1,0.0
180.43,1060.2,0.0
180.43,1067.4,0.0
180.43,1074.6,0.0
180.43,1081.8,0.0
180.43,1089.0,0.0
180.43,1096.1,0.0
180.43,1103.3,0.0
180.43,1110.5,0.0
180.43,1117.7,0.0
180.43,1124.9,0.0
180.43,1132.0,0.0
180.43,1139.2,0.0
180.43,1146.4,0.0
192.6,4.5906,0.00010511
192.6,11.772,0.00012167
192.6,18.953,0.00011495
192.6,26.134,0.00011239
192.6,33.316,0.0001427
192.6,40.497,0.00024615
192.6,47.678,0.00034961
192.6,54.859,0.0004115
192.6,62.041,0.00045353
192.6,69.222,0.00049009
192.6,76.403,0.00050383
192.6,83.584,0.00052095
192.6,90.766,0.00054851
192.6,97.947,0.00057003
192.6,105.13,0.00056865
192.6,112.31,0.0
192.6,119.49,0.0
192.6,126.67,0.0
192.6,133.85,0.0
192.6,141.03,0.0
192.6,148.22,0.0
192.6,155.4,0.0
192.6,162.58,0.0
192.6,169.76,0.0
192.6,176.94,0.0
192.6,184.12,0.0
192.6,191.3,0.0
192.6,198.48,0.0
192.6,205.67,0.0
192.6,212.85,0.0
192.6,220.03,0.0
192.6,227.21,0.0
192.6,234.39,0.0
192.6,241.57,0.0
192.6,248.75,0.0
192.6,255.93,0.0
192.6,263.12,0.0
192.6,270.3,0.0
192.6,277.48,0.0
192.6,284.66,0.0
192.6,291.84,0.0
192.6,299.02,0.0
192.6,306.2,0.0
192.6,313.38,0.0
192.6,320.57,0.0
192.6,327.75,0.0
192.6,334.93,0.0
192.6,342.11,0.0
192.6,349.29,0.0
192.6,356.47,0.0
192.6,363.65,0.0
192.6,370.83,0.0
192.6,378.02,0.0
192.6,385.2,0.0
192.6,392.38,0.0
192.6,399.56,0.0
192.6,406.74,0.0
192.6,413.92,0.0
192.6,421.1,0.0
192.6,428.28,0.0
192.6,435.47,0.0
192.6,442.65,0.0
192.6,449.83,0.0
192.6,457.01,0.0
192.6,464.19,0.0
192.6,471.37,0.0
192.6,478.55,0.0
192.6,485.73,0.0
192.6,492.92,0.0
192.6,500.1,0.0
192.6,507.28,0.0
192.6,514.46,0.0
192.6,521.64,0.0
192.6,528.82,0.0
192.6,536.0,0.0
192.6,543.18,0.0
192.6,550.37,0.0
192.6,557.55,0.0
192.6,564.73,0.0
192.6,571.91,0.0
192.6,579.09,0.0
192.6,586.27,0.0
192.6,593.45,0.0
192.6,600.63,0.0
192.6,607.82,0.0
192.6,615.0,0.0
192.6,622.18,0.0
192.6,629.36,0.0
192.6,636.54,0.0
192.6,643.72,0.0
192.6,650.9,0.0
192.6,658.08,0.0
192.6,665.27,0.0
192.6,672.45,0.0
192.6,679.63,0.0
192.6,686.81,0.0
192.6,693.99,0.0
192.6,701.17,0.0
192.6,708.35,0.0
192.6,715.53,0.0
192.6,722.72,0.0
192.6,729.9,0.0
192.6,737.08,0.0
192.6,744.26,0.0
192.6,751.44,0.0
192.6,758.62,0.0
192.6,765.8,0.0
192.6,772.98,0.0
192.6,780.17,0.0
192.6,787.35,0.0
192.6,794.53,0.0
192.6,801.71,0.0
192.6,808.89,0.0
192.6,816.07,0.0
192.6,823.25,0.0
192.6,830.43,0.0
192.6,837.62,0.0
192.6,844.8,0.0
192.6,851.98,0.0
192.6,859.16,0.0
192.6,866.34,0.0
192.6,873.52,0.0
192.6,880.7,0.0
192.6,887.88,0.0
192.6,895.07,0.0
192.6,902.25,0.0
192.6,909.43,0.0
192.6,916.61,0.0
192.6,923.79,0.0
192.6,930.97,0.0
192.6,938.15,0.0
192.6,945.33,0.0
192.6,952.52,0.0
192.6,959.7,0.0
192.6,966.88,0.0
192.6,974.06,0.0
192.6,981.24,0.0
192.6,988.42,0.0
192.6,995.6,0.0
192.6,1002.8,0.0
192.6,1010.0,0.0
192.6,1017.1,0.0
192.6,1024.3,0.0
192.6,1031.5,0.0
192.6,1038.7,0.0
192.6,1045.9,0.0
192.6,1053.1,0.0
192.6,1060.2,0.0
192.6,1067.4,0.0
192.6,1074.6,0.0
192.6,1081.8,0.0
192.6,1089.0,0.0
192.6,1096.1,0.0
192.6,1103.3,0.0
192.6,1110.5,0.0
192.6,1117.7,0.0
192.6,1124.9,0.0
192.6,1132.0,0.0
192.6,1139.2,0.0
192.6,1146.4,0.0
204.77,4.5906,0.00011424
204.77,11.772,0.00010752
204.77,18.953,0.0001008
204.77,26.134,0.00010814
204.77,33.316,0.00021159
204.77,40.497,0.00031505
204.77,47.678,0.00037511
204.77,54.859,0.00039583
204.77,62.041,0.00043786
204.77,69.222,0.00047989
204.77,76.403,0.000626
204.77,83.584,0.00065356
204.77,90.766,0.00068113
204.77,97.947,0.00072391
204.77,105.13,0.00074231
204.77,112.31,0.00075423
204.77,119.49,0.0
204.77,126.67,0.0
204.77,133.85,0.0
204.77,141.03,0.0
204.77,148.22,0.0
204.77,155.4,0.0
204.77,162.58,0.0
204.77,169.76,0.0
204.77,176.94,0.0
204.77,184.12,0.0
204.77,191.3,0.0
204.77,198.48,0.0
204.77,205.67,0.0
204.77,212.85,0.0
204.77,220.03,0.0
204.77,227.21,0.0
204.77,234.39,0.0
204.77,241.57,0.0
204.77,248.75,0.0
204.77,255.93,0.0
204.77,263.12,0.0
204.77,270.3,0.0
204.77,277.48,0.0
204.77,284.66,0.0
204.77,291.84,0.0
204.77,299.02,0.0
204.77,306.2,0.0
204.77,313.38,0.0
204.77,320.57,0.0
204.77,327.75,0.0
204.77,334.93,0.0
204.77,342.11,0.0
204.77,349.29,0.0
204.77,356.47,0.0
204.77,363.65,0.0
204.77,370.83,0.0
204.77,378.02,0.0
204.77,385.2,0.0
204.77,392.38,0.0
204.77,399.56,0.0
204.77,406.74,0.0
204.77,413.92,0.0
204.77,421.1,0.0
204.77,428.28,0.0
204.77,435.47,0.0
204.77,442.65,0.0
204.77,449.83,0.0
204.77,457.01,0.0
204.77,464.19,0.0
204.77,471.37,0.0
204.77,478.55,0.0
204.77,485.73,0.0
204.77,492.92,0.0
204.77,500.1,0.0
204.77,507.28,0.0
204.77,514.46,0.0
204.77,521.64,0.0
204.77,528.82,0.0
204.77,536.0,0.0
204.77,543.18,0.0
204.77,550.37,0.0
204.77,557.55,0.0
204.77,564.73,0.0
204.77,571.91,0.0
204.77,579.09,0.0
204.77,586.27,0.0
204.77,593.45,0.0
204.77,600.63,0.0
204.77,607.82,0.0
204.77,615.0,0.0
204.77,622.18,0.0
204.77,629.36,0.0
204.77,636.54,0.0
204.77,643.72,0.0
204.77,650.9,0.0
204.77,658.08,0.0
204.77,665.27,0.0
204.77,672.45,0.0
204.77,679.63,0.0
204.77,686.81,0.0
204.77,693.99,0.0
204.77,701.17,0.0
204.77,708.35,0.0
204.77,715.53,0.0
204.77,722.72,0.0
204.77,729.9,0.0
204.77,737.08,0.0
204.77,744.26,0.0
204.77,751.44,0.0
204.77,758.62,0.0
204.77,765.8,0.0
204.77,772.98,0.0
204.77,780.17,0.0
204.77,787.35,0.0
204.77,794.53,0.0
204.77,801.71,0.0
204.77,808.89,0.0
204.77,816.07,0.0
204.77,823.25,0.0
204.77,830.43,0.0
204.77,837.62,0.0
204.77,844.8,0.0
204.77,851.98,0.0
204.77,859.16,0.0
204.77,866.34,0.0
204.77,873.52,0.0
204.77,880.7,0.0
204.77,887.88,0.0
204.77,895.07,0.0
204.77,902.25,0.0
204.77,909.43,0.0
204.77,916.61,0.0
204.77,923.79,0.0
204.77,930.97,0.0
204.77,938.15,0.0
204.77,945.33,0.0
204.77,952.52,0.0
204.77,959.7,0.0
204.77,966.88,0.0
204.77,974.06,0.0
204.77,981.24,0.0
204.77,988.42,0.0
204.77,995.6,0.0
204.77,1002.8,0.0
204.77,1010.0,0.0
204.77,1017.1,0.0
204.77,1024.3,0.0
204.77,1031.5,0.0
204.77,1038.7,0.0
204.77,1045.9,0.0
204.77,1053.1,0.0
204.77,1060.2,0.0
204.77,1067.4,0.0
204.77,1074.6,0.0
204.77,1081.8,0.0
204.77,1089.0,0.0
204.77,1096.1,0.0
204.77,1103.3,0.0
204.77,1110.5,0.0
204.77,1117.7,0.0
204.77,1124.9,0.0
204.77,1132.0,0.0
204.77,1139.2,0.0
204.77,1146.4,0.0
216.94,4.5906,0.00018664
216.94,11.772,0.0001777
216.94,18.953,0.00016573
216.94,26.134,0.000172
216.94,33.316,0.00027091
216.94,40.497,0.00024704
216.94,47.678,0.00022317
216.94,54.859,0.00024389
216.94,62.041,0.00037516
216.94,69.222,0.00057816
216.94,76.403,0.00074688
216.94,83.584,0.00077738
216.94,90.766,0.00084518
216.94,97.947,0.00091297
216.94,105.13,0.00093834
216.94,112.31,0.00099031
216.94,119.49,0.0010423
216.94,126.67,0.0010675
216.94,133.85,0.0
216.94,141.03,0.0
216.94,148.22,0.0
216.94,155.4,0.0
216.94,162.58,0.0
216.94,169.76,0.0
216.94,176.94,0.0
216.94,184.12,0.0
216.94,191.3,0.0
216.94,198.48,0.0
216.94,205.67,0.0
216.94,212.85,0.0
216.94,220.03,0.0
216.94,227.21,0.0
216.94,234.39,0.0
216.94,241.57,0.0
216.94,248.75,0.0
216.94,255.93,0.0
216.94,263.12,0.0
216.94,270.3,0.0
216.94,277.48,0.0
216.94,284.66,0.0
216.94,291.84,0.0
216.94,299.02,0.0
216.94,306.2,0.0
216.94,313.38,0.0
216.94,320.57,0.0
216.94,327.75,0.0
216.94,334.93,0.0
216.94,342.11,0.0
216.94,349.29,0.0
216.94,356.47,0.0
216.94,363.65,0.0
216.94,370.83,0.0
216.94,378.02,0.0
216.94,385.2,0.0
216.94,392.38,0.0
216.94,399.56,0.0
216.94,406.74,0.0
216.94,413.92,0.0
216.94,421.1,0.0
216.94,428.28,0.0
216.94,435.47,0.0
216.94,442.65,0.0
216.94,449.83,0.0
216.94,457.01,0.0
216.94,464.19,0.0
216.94,471.37,0.0
216.94,478.55,0.0
216.94,485.73,0.0
216.94,492.92,0.0
216.94,500.1,0.0
216.94,507.28,0.0
216.94,514.46,0.0
216.94,521.64,0.0
216.94,528.82,0.0
216.94,536.0,0.0
216.94,543.18,0.0
216.94,550.37,0.0
216.94,557.55,0.0
216.94,564.73,0.0
216.94,571.91,0.0
216.94,579.09,0.0
216.94,586.27,0.0
216.94,593.45,0.0
216.94,600.63,0.0
216.94,607.82,0.0
216.94,615.0,0.0
216.94,622.18,0.0
216.94,629.36,0.0
216.94,636.54,0.0
216.94,643.72,0.0
216.94,650.9,0.0
216.94,658.08,0.0
216.94,665.27,0.0
216.94,672.45,0.0
216.94,679.63,0.0
216.94,686.81,0.0
216.94,693.99,0.0
216.94,701.17,0.0
216.94,708.35,0.0
216.94,715.53,0.0
216.94,722.72,0.0
216.94,729.9,0.0
216.94,737.08,0.0
216.94,744.26,0.0
216.94,751.44,0.0
216.94,758.62,0.0
216.94,765.8,0.0
216.94,772.98,0.0
216.94,780.17,0.0
216.94,787.35,0.0
216.94,794.53,0.0
216.94,801.71,0.0
216.94,808.89,0.0
216.94,816.07,0.0
216.94,823.25,0.0
216.94,830.43,0.0
216.94,837.62,0.0
216.94,844.8,0.0
216.94,851.98,0.0
216.94,859.16,0.0
216.94,866.34,0.0
216.94,873.52,0.0
216.94,880.7,0.0
216.94,887.88,0.0
216.94,895.07,0.0
216.94,902.25,0.0
216.94,909.43,0.0
216.94,916.61,0.0
216.94,923.79,0.0
216.94,930.97,0.0
216.94,938.15,0.0
216.94,945.33,0.0
216.94,952.52,0.0
216.94,959.7,0.0
216.94,966.88,0.0
216.94,974.06,0.0
216.94,981.24,0.0
216.94,988.42,0.0
216.94,995.6,0.0
216.94,1002.8,0.0
216.94,1010.0,0.0
216.94,1017.1,0.0
216.94,1024.3,0.0
216.94,1031.5,0.0
216.94,1038.7,0.0
216.94,1045.9,0.0
216.94,1053.1,0.0
216.94,1060.2,0.0
216.94,1067.4,0.0
216.94,1074.6,0.0
216.94,1081.8,0.0
216.94,1089.0,0.0
216.94,1096.1,0.0
216.94,1103.3,0.0
216.94,1110.5,0.0
216.94,1117.7,0.0
216.94,1124.9,0.0
216.94,1132.0,0.0
216.94,1139.2,0.0
216.94,1146.4,0.0
229.11,4.5906,0.00029035
229.11,11.772,0.00027748
229.11,18.953,0.00026552
229.11,26.134,0.00024866
229.11,33.316,0.00021689
229.11,40.497,0.00019302
229.11,47.678,0.00016915
229.11,54.859,0.0002988
229.11,62.041,0.00050179
229.11,69.222,0.00070479
229.11,76.403,0.00079224
229.11,83.584,0.00096625
229.11,90.766,0.001034
229.11,97.947,0.0011018
229.11,105.13,0.0011583
229.11,112.31,0.0012103
229.11,119.49,0.0012623
229.11,126.67,0.0013354
229.11,133.85,0.0013526
229.11,141.03,0.0013927
229.11,148.22,0.0
229.11,155.4,0.0
229.11,162.58,0.0
229.11,169.76,0.0
229.11,176.94,0.0
229.11,184.12,0.0
229.11,191.3,0.0
229.11,198.48,0.0
229.11,205.67,0.0
229.11,212.85,0.0
229.11,220.03,0.0
229.11,227.21,0.0
229.11,234.39,0.0
229.11,241.57,0.0
229.11,248.75,0.0
229.11,255.93,0.0
229.11,263.12,0.0
229.11,270.3,0.0
229.11,277.48,0.0
229.11,284.66,0.0
229.11,291.84,0.0
229.11,299.02,0.0
229.11,306.2,0.0
229.11,313.38,0.0
229.11,320.57,0.0
229.11,327.75,0.0
229.11,334.93,0.0
229.11,342.11,0.0
229.11,349.29,0.0
229.11,356.47,0.0
229.11,363.65,0.0
229.11,370.83,0.0
229.11,378.02,0.0
229.11,385.2,0.0
229.11,392.38,0.0
229.11,399.56,0.0
229.11,406.74,0.0
229.11,413.92,0.0
229.11,421.1,0.0
229.11,428.28,0.0
229.11,435.47,0.0
229.11,442.65,0.0
229.11,449.83,0.0
229.11,457.01,0.0
229.11,464.19,0.0
229.11,471.37,0.0
229.11,478.55,0.0
229.11,485.73,0.0
229.11,492.92,0.0
229.11,500.1,0.0
229.11,507.28,0.0
229.11,514.46,0.0
229.11,521.64,0.0
229.11,528.82,0.0
229.11,536.0,0.0
229.11,543.18,0.0
229.11,550.37,0.0
229.11,557.55,0.0
229.11,564.73,0.0
229.11,571.91,0.0
229.11,579.09,0.0
229.11,586.27,0.0
229.11,593.45,0.0
229.11,600.63,0.0
229.11,607.82,0.0
229.11,615.0,0.0
229.11,622.18,0.0
229.11,629.36,0.0
229.11,636.54,0.0
229.11,643.72,0.0
229.11,650.9,0.0
229.11,658.08,0.0
229.11,665.27,0.0
229.11,672.45,0.0
229.11,679.63,0.0
229.11,686.81,0.0
229.11,693.99,0.0
229.11,701.17,0.0
229.11,708.35,0.0
229.11,715.53,0.0
229.11,722.72,0.0
229.11,729.9,0.0
229.11,737.08,0.0
229.11,744.26,0.0
229.11,751.44,0.0
229.11,758.62,0.0
229.11,765.8,0.0
229.11,772.98,0.0
229.11,780.17,0.0
229.11,787.35,0.0
229.11,794.53,0.0
229.11,801.71,0.0
229.11,808.89,0.0
229.11,816.07,0.0
229.11,823.25,0.0
229.11,830.43,0.0
229.11,837.62,0.0
229.11,844.8,0.0
229.11,851.98,0.0
229.11,859.16,0.0
229.11,866.34,0.0
229.11,873.52,0.0
229.11,880.7,0.0
229.11,887.88,0.0
229.11,895.07,0.0
229.11,902.25,0.0
229.11,909.43,0.0
229.11,916.61,0.0
229.11,923.79,0.0
229.11,930.97,0.0
229.11,938.15,0.0
229.11,945.33,0.0
229.11,952.52,0.0
